Symbol,MSE,RMSE,MAE,R2,N
GLD,1.3162931023712698e-06,0.001147298175005639,0.0006731233369025768,-609.2791837399059,1264
C,3.2113274894017464e-05,0.00566685758547164,0.004378346985880551,-688.0760082725385,1264
VIX,8.379514277941405e-06,0.002894739069059836,0.001997588208454092,-739.0816898111555,1258
BRK.B,1.1384088681049786e-05,0.0033740315174950256,0.0024716294449621933,-833.3301564454581,1264
ABT,1.2364304235895923e-05,0.00351629126152768,0.002441881540015309,-1087.7765629350363,1264
GS,4.305082489504485e-05,0.006561312741749539,0.0038420913183709123,-1342.954772528073,1264
DWTI.F,3.958966249329264e-05,0.0062920316665837465,0.004488297191255455,-1356.2493979974656,689
UPRO,0.00014239583342194715,0.01193297253084692,0.008874868176860203,-1420.0817065898552,1264
BIDU,2.5148558850368485e-05,0.005014833880635378,0.003829841740122262,-1519.4998495548446,1264
CMRX,1.4268783443078845e-05,0.003777404326131748,0.002835077215846678,-1604.174424182684,442
AGG,1.262514786486737e-07,0.00035531884082985765,0.0002548623583986231,-1664.6299589070006,1264
WW,2.1653682710841433e-05,0.004653351771663242,0.0035124740264755087,-1745.8207962773058,1264
BND,1.8894492257715947e-07,0.00043467795271575423,0.000298575922164254,-1778.683228734632,1264
EPD,1.0345555961948708e-05,0.0032164508331309384,0.0022629916378782283,-1803.5887321430237,1264
USO,1.783862176606974e-05,0.004223579260067193,0.0029514007548167055,-1809.3693625781184,1264
GDX,8.004599480544385e-06,0.0028292400888833003,0.0022132298445367003,-1839.4442711708089,1264
AIG,6.223882018848748e-05,0.007889158395449255,0.005290222125580333,-1865.3870306222457,1259
UAA,5.611741652302497e-05,0.0074911558869793235,0.004912800638343908,-1904.600672060981,1264
ESRX,1.9476638884802763e-05,0.004413234515047072,0.00293037556246539,-1907.5049462011373,1264
LBTY.A,2.9534113918801633e-05,0.005434529778996673,0.0033974065376418316,-1932.180329895182,1259
DUK,7.359213336319399e-06,0.0027127870053359144,0.001705403941091658,-1977.4996834204383,1264
NFLX,2.6528850948882895e-05,0.005150616560071512,0.0036567603756511922,-1983.6179983170184,1264
TWTR,7.73549541990693e-06,0.0027812758618854998,0.002362011410645734,-1994.8150345881952,295
ANDV,7.393211591266747e-05,0.00859837867930155,0.005420656018884318,-1997.030025425213,1264
TLT,8.899323560721826e-06,0.002983173404400392,0.0019918739428558636,-1998.0274654840664,1264
BHC,3.6871075058510215e-05,0.0060721557175775894,0.004147740328533364,-2032.0430756407238,1259
IEF,1.156936911552335e-06,0.0010756100183395164,0.0007497374933261859,-2058.364613413698,1264
TGT,1.1574207873372969e-05,0.0034020887515426416,0.0024335070987810746,-2081.147120095866,1264
AMLP,6.916165939993834e-06,0.002629860441162959,0.001721438430702822,-2081.368651567485,1102
BAC,0.00010463041654836712,0.010228901043043047,0.006271751123862914,-2087.8275003612002,1264
CSCO,2.663422071618873e-05,0.005160835273111198,0.0036437421797564993,-2090.1770641155563,1264
NKE,2.3368144217584937e-05,0.004834060841320156,0.0033662423393737997,-2091.7208499132735,1259
WMB,5.235625124901864e-05,0.007235761967410111,0.00462619986315185,-2094.588245236818,1264
VNQ,3.1525934277117795e-05,0.005614796013847502,0.003438251423605973,-2098.573203833975,1264
HYG,5.3580175372994835e-06,0.0023147391942289056,0.0014096568823313879,-2099.8666837338396,1264
SPG,2.894096967936231e-05,0.005379681187520531,0.0033896921450244184,-2103.160262795371,1264
MA,4.06248152673704e-05,0.006373759900354766,0.004308709508945008,-2105.7463627687,1264
IYR,3.0401708578314214e-05,0.005513774440282647,0.0033703590712936804,-2107.337762943148,1259
SBUX,3.0640528127685015e-05,0.005535388706105924,0.0037505499910525505,-2109.8646581642547,1264
UAL,3.246338210066515e-05,0.005697664618127777,0.004217692027519825,-2112.917898695739,1264
SIG,5.239757461682106e-05,0.007238616899437424,0.00449323595822948,-2121.5612940025235,1259
USB,4.360071997615241e-05,0.00660308412608475,0.004181329976500919,-2137.945372341271,1264
AET,2.7595922161981727e-05,0.0052531820986885394,0.0036838804625920806,-2141.1325793461983,1259
MON,2.854157612418659e-05,0.005342431667713364,0.0036791346462091714,-2145.024493382973,1264
HAL,7.27706783177685e-05,0.008530573152946318,0.005646368018566788,-2150.55787467996,1259
KR,9.859980125360293e-06,0.00314006052893257,0.0023822581546490114,-2151.292505958003,1264
AMJ,1.157275569327528e-05,0.0034018753200661662,0.0023317941674890976,-2152.6779362351185,1259
MCD,8.20325219394661e-06,0.0028641320140570703,0.0020713316537778036,-2155.9305401195356,1259
CMG,1.874940696604594e-05,0.004330058540718121,0.0032190321561631078,-2156.84791397217,1264
UNH,2.6811895569117158e-05,0.0051780204295770365,0.00352896324117013,-2161.527630382534,1264
KO,9.262587989540318e-06,0.0030434500142996136,0.0020184768432302005,-2166.464340648452,1264
MS,0.00010512173800169674,0.01025288925141088,0.006580895743174741,-2183.7938152467204,1264
BP,2.9104487268387316e-05,0.005394857483603002,0.003715587060026256,-2185.598388493402,1264
TFCF.A,4.7191956584017004e-05,0.006869640207755935,0.004509899692633722,-2192.930790343529,1264
VXX,0.00017625475356165157,0.01327609707563377,0.010073037472068986,-2201.791074855192,1259
TQQQ,0.0002012751674033541,0.014187147965794749,0.010467233332398563,-2203.921408206064,1232
PFE,1.7931736803294556e-05,0.0042345881503747865,0.0029371528161602264,-2205.938809884545,1259
OXY,4.860057307132568e-05,0.006971411124824419,0.00466688277992455,-2207.536964748101,1264
DAL,3.768925024879535e-05,0.006139157128531192,0.004573335063162986,-2218.7889252095815,1264
MRK,1.5987435454140253e-05,0.003998429123310835,0.0027603807939163044,-2234.8313084656843,1264
