Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2010-01-05,100194,CMG,89.02,510940.0,1.0,89.02,0.013344085826487622,0.0026436391850606,,0.6360617260901485,,,,,
2010-01-06,100194,CMG,87.32,282888.0,1.0,87.32,-0.019281531905965165,0.0007037917067137724,,0.6373903276550563,,,,,
2010-01-07,100194,CMG,86.43,422430.0,1.0,86.43,-0.01024469391719614,0.004212380076925267,,0.6543600650894992,,,,,
2010-01-08,100194,CMG,91.89,1196319.0,1.0,91.89,0.06125737174824663,0.00332226219197786,,0.6076204872139574,,,,,
2010-01-11,100194,CMG,96.77,1407312.0,1.0,96.77,0.051744819380057476,0.0013955519055172563,,0.5910423139407474,,,,,0.019364010226326084
2010-01-12,100194,CMG,95.42,547997.0,1.0,95.42,-0.014048828804890187,-0.00937000594207626,,0.5662286615115527,,,,,0.013885427300050523
2010-01-13,100194,CMG,95.64,367278.0,1.0,95.64,0.0023029425021630066,0.008410773254615995,,0.5842832161821438,,,,,0.018202322181676157
2010-01-14,100194,CMG,99.42,878417.0,1.0,99.42,0.03876215807640258,0.002700938257075907,,0.5665604983142224,,,,,0.0280036925803959
2010-01-15,100194,CMG,98.06,594939.0,1.0,98.06,-0.01377376444343936,-0.011287690394680128,,0.5383231738575154,,,,,0.0129974653420587
2010-01-19,100194,CMG,99.5,444952.0,1.0,99.5,0.01457810794145983,0.012418174449160133,,0.5355012631170545,,,,,0.005564123054339172
2010-01-20,100194,CMG,97.85,448326.0,1.0,97.85,-0.016721950322461956,-0.010220661148887651,,0.4965455379471214,,,,,0.0050294987508248176
2010-01-21,100194,CMG,100.06,919633.0,1.0,100.06,0.022334312217973877,-0.019416364211104684,,0.6592357698195608,,,,,0.009035772693986992
2010-01-22,100194,CMG,97.77,293533.0,1.0,97.77,-0.023152224542479147,-0.022544071865518076,,0.5763186718502127,,,,,-0.0033471038297893533
