Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2013-04-12,190913,CMRX,18.17,174910.0,1.0,18.17,-0.03355293101729399,-0.002452908554009105,,0.0994565446640274,,,,,
2013-04-15,190913,CMRX,18.42,46096.0,1.0,18.42,0.013665148419080947,-0.023459431205697847,,0.3016210972723199,,,,,
2013-04-16,190913,CMRX,19.25,75605.0,1.0,19.25,0.04407402990663225,0.014667748759392536,,-0.26944017582045077,,,,,
2013-04-17,190913,CMRX,18.75,66798.0,1.0,18.75,-0.026317308317373417,-0.014719323730070491,,-0.14881647514682012,,,,,
2013-04-18,190913,CMRX,18.87,106057.0,1.0,18.87,0.006379606964038988,-0.006273262286812445,,-0.1556044439953053,,,,,0.0008497091910169558
2013-04-19,190913,CMRX,18.82,122418.0,1.0,18.82,-0.002653225223225277,0.008655825634175315,,-0.0037279308525950457,,,,,0.007029650349830699
2013-04-22,190913,CMRX,18.92,29262.0,1.0,18.92,0.005299429466498814,0.004428051515732004,,-0.0004641833191209768,,,,,0.005356506559314272
2013-04-23,190913,CMRX,19.33,42376.0,1.0,19.33,0.02143872959650717,0.010256500167189282,,0.07333372130678115,,,,,0.000829446497289256
2013-04-24,190913,CMRX,19.35,21761.0,1.0,19.35,0.0010341262555513561,0.0006335931277026924,,0.11217392220636804,,,,,0.00629973341187421
2013-04-25,190913,CMRX,19.1,28042.0,1.0,19.1,-0.013004084423206573,0.004045517527587887,,0.12034401643339537,,,,,0.0024229951344250985
2013-04-26,190913,CMRX,18.9,30080.0,1.0,18.9,-0.010526412986987617,-0.0017679004478322537,,0.10026740593746303,,,,,0.0008483575816726301
2013-04-29,190913,CMRX,19.02,26056.0,1.0,19.02,0.00632913505164753,0.006676349041600946,,0.10204478852698334,,,,,0.0010542986987023735
2013-04-30,190913,CMRX,19.93,27471.0,1.0,19.93,0.046735077107459035,0.0023825956471510727,,0.07525156787913151,,,,,0.006113568200892747
2013-05-01,190913,CMRX,20.45,71769.0,1.0,20.45,0.025756748264107468,-0.008806196045930298,,0.09900839856618641,,,,,0.011058092602603969
2013-05-02,190913,CMRX,20.49,43704.0,1.0,20.49,0.0019540797619975103,0.00924447674042055,,0.10275813570413507,,,,,0.014049725439644783
2013-05-03,190913,CMRX,20.95,23615.0,1.0,20.95,0.022201684117338406,0.010077377741387318,,0.05158714714195889,,,,,0.02059534486050999
2013-05-06,190913,CMRX,20.92,182587.0,1.0,20.92,-0.0014330071714244378,0.0025499165907750185,,0.055112704486107736,,,,,0.019042916415895596
2013-05-07,190913,CMRX,20.52,89984.0,1.0,20.52,-0.01930561889415342,0.005055194517564383,,0.03463011266852993,,,,,0.0058347772155731056
2013-05-08,190913,CMRX,19.94,163122.0,1.0,19.94,-0.028672255768876425,0.004541335822758661,,0.07378980651056956,,,,,-0.0050510235910236735
2013-05-09,190913,CMRX,19.6,71741.0,1.0,19.6,-0.01719819829722069,-0.0028140450976237817,,0.06407720721713722,,,,,-0.008881479202867314
2013-05-10,190913,CMRX,20.05,102561.0,1.0,20.05,0.022699587516106536,0.0032425072311869727,,0.05635116826766802,,,,,-0.008781898523113688
2013-05-13,190913,CMRX,20.47,85589.0,1.0,20.47,0.02073124592061995,0.0007952286701383172,,0.05463732761734533,,,,,-0.004349047904704809
2013-05-14,190913,CMRX,20.7,34552.0,1.0,20.7,0.011173300598125255,0.010280833929068292,,0.012632782229453124,,,,,0.0017467359937509252
2013-05-15,190913,CMRX,20.25,153962.0,1.0,20.25,-0.02197890671877523,0.005341876922863717,,0.05493069795052243,,,,,0.003085405803771165
2013-05-16,190913,CMRX,20.07,72573.0,1.0,20.07,-0.008928630744301318,-0.004676359761233475,,0.03742799985924125,,,,,0.004739319314355039
2013-05-17,190913,CMRX,19.78,51309.0,1.0,19.78,-0.014554836613680698,0.009630506598060994,,0.10243066730718568,,,,,-0.002711565511602408
2013-05-20,190913,CMRX,20.01,17608.0,1.0,20.01,0.011560822401076006,-5.9903555293844813e-05,,0.09971494786826747,,,,,-0.0045456502155111975
2013-05-21,190913,CMRX,20.12,11175.0,1.0,20.12,0.005482196635896356,0.0014366958472427096,,0.09932269862800013,,,,,-0.005683871007956977
2013-05-22,190913,CMRX,20.39,25395.0,1.0,20.39,0.013330239354825328,-0.007445246039842922,,0.12208648638164804,,,,,0.0013779582067631347
2013-05-23,190913,CMRX,20.74,17192.0,1.0,20.74,0.017019618215017445,-0.0028969783070752573,,0.17835634462477193,,,,,0.006567607998626887
2013-05-24,190913,CMRX,21.81,24743.0,1.0,21.81,0.050304377412156355,-0.0008586338575281171,,0.199978000449558,,,,,0.019539450803794302
2013-05-28,190913,CMRX,21.9,80465.0,1.0,21.9,0.004118056608917548,0.005982985688789139,,0.19090064237635462,,,,,0.018050897645362607
2013-05-29,190913,CMRX,21.96,65282.0,1.0,21.96,0.0027359798188748455,-0.006515467064522843,,0.08094378030173774,,,,,0.017501654281958306
2013-05-30,190913,CMRX,22.07,43548.0,1.0,22.07,0.004996603627315063,0.0036852480916482627,,0.06496303344383252,,,,,0.01583492713645625
2013-05-31,190913,CMRX,21.5,35924.0,1.0,21.5,-0.026166285135027945,-0.014486624918299612,,-0.03989311953574427,,,,,0.007197746466447173
2013-06-03,190913,CMRX,21.99,50728.0,1.0,21.99,0.022534869433052645,0.005521757802520449,,-0.05553009410613066,,,,,0.0016438448706264327
2013-06-04,190913,CMRX,21.97,17946.0,1.0,21.97,-0.0009099181701509259,-0.004818404613786829,,0.023644970208503653,,,,,0.000638249914812738
2013-06-05,190913,CMRX,21.75,36139.0,1.0,21.75,-0.010064128861825698,-0.014087515018319108,,-0.014917172642896537,,,,,-0.0019217718213273706
2013-06-06,190913,CMRX,22.07,16256.0,1.0,22.07,0.014605462733951845,0.009000005194400569,,0.014780900782858847,,,,,-1.457167719820518e-17
2013-06-07,190913,CMRX,22.24,34977.0,1.0,22.24,0.007673249113736512,0.012640231802848581,,-0.06693238555084341,,,,,0.006767906849752876
2013-06-10,190913,CMRX,22.9,60459.0,1.0,22.9,0.029244441177812268,0.0,,-0.06662251371967441,,,,,0.0081098211987048
2013-06-11,190913,CMRX,23.72,21363.0,1.0,23.72,0.03518166356933067,-0.010381370339283004,,0.2117345029770975,,,,,0.015328137546601117
2013-06-12,190913,CMRX,23.9,20460.0,1.0,23.9,0.0075598848079402575,-0.00829931375507841,,0.24772925402864396,,,,,0.018852940280554308
2013-06-13,190913,CMRX,22.96,67769.0,1.0,22.96,-0.04012488748609927,0.015094163122736112,,0.44777099422507466,,,,,0.007906870236544088
2013-06-14,190913,CMRX,21.79,17616.0,1.0,21.79,-0.052302422494837277,-0.006322851982464853,0.2682774600919813,0.3295572880805002,0.0005061713394711215,,,0.003291696345136759,-0.00408826408517067
2013-06-17,190913,CMRX,20.6,82312.0,1.0,20.6,-0.05616007316099301,0.007722517508396418,0.0994565446640274,0.5425941093213532,0.0005553901788959228,,,0.0027893154086101137,-0.021169166952931726
2013-06-18,190913,CMRX,21.35,65815.0,1.0,21.35,0.03576066387909826,0.007844365203570361,0.3016210972723199,0.3543445206552419,0.0005771623817391745,,,0.003280326863277165,-0.02105336689097821
2013-06-19,190913,CMRX,22.87,70921.0,1.0,22.87,0.06877426836005625,-0.0138829940630285,-0.26944017582045077,0.836705718143714,0.000636520844181638,,,0.003829221051131032,-0.00881049018055501
2013-06-20,190913,CMRX,22.32,62170.0,1.0,22.32,-0.02434287052157959,-0.025090366814104873,-0.14881647514682012,0.8504371931318329,0.0006339019096225823,,0.0005818293307820879,0.003873097446593117,-0.0056540867876510754
2013-06-21,190913,CMRX,22.67,142498.0,1.0,22.67,0.01555932700632746,-0.0020724094458456225,-0.1556044439953053,0.953345406364254,0.0006368203815676452,,0.0006079591392013925,0.00407709122531064,0.007918263112581873
2013-06-24,190913,CMRX,22.05,78348.0,1.0,22.05,-0.027729862626582665,-0.012716458963540456,-0.0037279308525950457,0.9120374497211458,0.0006584660856986034,,0.0006285743205619287,0.003519832616347141,0.01360430521946394
2013-06-25,190913,CMRX,22.17,39136.0,1.0,22.17,0.005427421735365237,0.009599769573232102,-0.0004641833191209768,0.808461060500748,0.0006584768031361721,,0.0006448372048413281,0.0035226768889886173,0.007537656790717337
2013-06-26,190913,CMRX,23.25,98264.0,1.0,23.25,0.04756510840514516,0.009820765124526934,0.07333372130678115,0.5214906109197097,0.0006949218534624354,,0.0006565174066974877,0.004103263084736128,0.00329582479973512
2013-06-27,190913,CMRX,23.91,95033.0,1.0,23.91,0.027991649436867987,0.005852703338765711,0.11217392220636804,0.40862118704372874,0.0007073101792287938,,0.0006711990606187299,0.0047023191554320535,0.013762728791424633
2013-06-28,190913,CMRX,24.24,1145455.0,1.0,24.24,0.013707379730880286,-0.00410576004447504,0.12034401643339537,0.5591978726294035,0.0007016674242566973,,0.0006841684691565404,0.005295907247745095,0.013392339336335202
2013-07-01,190913,CMRX,24.24,59543.0,1.0,24.24,0.0,0.005842517707178009,0.10026740593746303,0.5305993726624566,0.0006965592077658439,,0.0006917870935699885,0.00552982753634482,0.018938311861651735
2013-07-02,190913,CMRX,24.23,13535.0,1.0,24.23,-0.0004126263726793019,-0.0009300307580492127,0.10204478852698334,0.5417935507475725,0.0006973242949481449,,0.0006995565919323832,0.005380010615804224,0.017770302240042828
2013-07-03,190913,CMRX,24.5,4950.0,1.0,24.5,0.01108158272224696,0.00043412199509660965,0.07525156787913151,0.5404744417959751,0.0006585519799663941,,0.0006922826172331747,0.004587710740577289,0.010473597103463185
2013-07-05,190913,CMRX,24.32,16476.0,1.0,24.32,-0.00737406045271502,0.010730907783307568,0.09900839856618641,1.5213703227475195,0.000651064788770501,,0.0006810335391415163,0.003851470546870122,0.0034004551255465837
2013-07-08,190913,CMRX,24.37,18303.0,1.0,24.37,0.0020538105391486572,0.005658113056524546,0.10275813570413507,1.4912572565240572,0.0006510564085133544,,0.0006709113359928476,0.0038536867863623696,0.0010697412872002579
2013-07-09,190913,CMRX,24.49,18883.0,1.0,24.49,0.004912003326961356,0.007202036752061076,0.05158714714195889,1.3746281201240949,0.0006432797737613767,,0.0006602554491919542,0.0034694716576873243,0.0020521419525925287
2013-07-10,190913,CMRX,24.35,42638.0,1.0,24.35,-0.005733021435477472,0.00037539128927597577,0.055112704486107736,1.278060081870655,0.0006446488803260345,,0.000649720366267532,0.003373915785152812,0.0009880629400328947
2013-07-11,190913,CMRX,24.13,17216.0,1.0,24.13,-0.0090759698916585,0.013516644373571399,0.03463011266852993,1.5633676820772615,0.0006364287189551241,,0.0006452957140652782,0.0036012413185415883,-0.0030434475827481973
2013-07-12,190913,CMRX,24.01,22447.0,1.0,24.01,-0.004985469403778434,0.0004179728378509955,0.07378980651056956,1.3911828228577596,0.0006141488303473815,,0.0006379125223806543,0.004127614348877099,-0.00256572937296088
2013-07-15,190913,CMRX,24.44,18183.0,1.0,24.44,0.017750724070232662,0.00384312212393401,0.06407720721713722,1.5456213569065178,0.0006074137396055719,,0.0006291839885990977,0.00490425706815384,0.0005736533332559208
2013-07-16,190913,CMRX,24.43,25648.0,1.0,24.43,-0.0004092490337454932,-0.003753579240294742,0.05635116826766802,1.4718170871694667,0.0006005885688650422,,0.0006206457476198308,0.004390727367046017,-0.000490597138885449
2013-07-17,190913,CMRX,24.51,28777.0,1.0,24.51,0.0032693122703721,0.002534317614192119,0.05463732761734533,1.4618575740980935,0.0005943946835155801,,0.00061059490825774,0.004002684397040509,0.0013098696022844655
2013-07-18,190913,CMRX,24.26,38292.0,1.0,24.26,-0.010252294024117158,0.005462276670618236,0.012632782229453124,1.3070122928740053,0.0005976125341135004,,0.0006028316712894152,0.0035265600721017896,0.0010746047757927341
