Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2010-01-05,55857,SCHW,19.72,13200000.0,1.0,19.72,-0.0030379770200768094,0.0026436391850606,,0.6712473521268997,,,,,
2010-01-06,55857,SCHW,19.36,10100000.0,1.0,19.36,-0.01842426732605836,0.0007037917067137724,,0.6747314287714113,,,,,
2010-01-07,55857,SCHW,19.29,19500000.0,1.0,19.29,-0.003622254930793249,0.004212380076925267,,0.6793547726744814,,,,,
2010-01-08,55857,SCHW,19.16,9655100.0,1.0,19.16,-0.006762054374923222,0.00332226219197786,,0.6990560771848556,,,,,
2010-01-11,55857,SCHW,19.11,9586529.0,1.0,19.11,-0.0026130142905329066,0.0013955519055172563,,0.6971621258270048,,,,,-0.006891913588476908
2010-01-12,55857,SCHW,19.09,11400000.0,1.0,19.09,-0.001047120514525356,-0.00937000594207626,,0.7074002050713667,,,,,-0.006493742287366618
2010-01-13,55857,SCHW,19.1,12500000.0,1.0,19.1,0.0005236973149279877,0.008410773254615995,,0.7244002682995415,,,,,-0.002704149359169349
2010-01-14,55857,SCHW,19.18,6612762.0,1.0,19.18,0.0041797344027078446,0.002700938257075907,,0.716809332568259,,,,,-0.0011437514924691303
2010-01-15,55857,SCHW,19.0,13200000.0,1.0,19.0,-0.00942909028885169,-0.011287690394680128,,0.7084242219075823,,,,,-0.001677158675254824
2010-01-19,55857,SCHW,19.29,10800000.0,1.0,19.29,0.015147847751197275,0.012418174449160133,,0.6861759247218551,,,,,0.0018750137330912123
2010-01-20,55857,SCHW,19.02,28200000.0,1.0,19.02,-0.014095769800393414,-0.010220661148887651,,0.6619213154203524,,,,,-0.0007347161240823994
2010-01-21,55857,SCHW,19.15,49500000.0,1.0,19.15,0.006811658509410707,-0.019416364211104684,,0.7728626593341528,,,,,0.0005228761148141445
2010-01-22,55857,SCHW,18.82,26800000.0,1.0,18.82,-0.01738258146942135,-0.022544071865518076,,0.7743899532545604,,,,,-0.0037895870596116946
2010-01-25,55857,SCHW,18.96,12200000.0,1.0,18.96,0.0074113626696422335,0.005114633489588099,,0.7683823280679836,,,,,-0.00042149646791290985
2010-01-26,55857,SCHW,18.63,13900000.0,1.0,18.63,-0.01755831221337875,-0.004199385393481015,,0.7435253146289572,,,,,-0.006962728460828116
2010-01-27,55857,SCHW,18.74,16500000.0,1.0,18.74,0.005887092196779067,0.00474583349451048,,0.7271103538217816,,,,,-0.0029661560613936195
2010-01-28,55857,SCHW,18.42,14900000.0,1.0,18.42,-0.017223245983115143,-0.01153858955649378,,0.7119406094057698,,,,,-0.007773136959898788
2010-01-29,55857,SCHW,18.29,10500000.0,1.0,18.29,-0.007082568424386573,-0.010928058373635528,,0.7196558152407745,,,,,-0.005713134350891833
2010-02-01,55857,SCHW,18.44,8523911.0,1.0,18.44,0.008167755725673576,0.015431121627790404,,0.7145418279612837,,,,,-0.005561855739685565
2010-02-02,55857,SCHW,18.23,15500000.0,1.0,18.23,-0.011453629437876119,0.012030768513439743,,0.7857988619244547,,,,,-0.004340919184585038
2010-02-03,55857,SCHW,18.17,12100000.0,1.0,18.17,-0.0032967062824917548,-0.004995242211100722,,0.7895290536810305,,,,,-0.006177678880439202
2010-02-04,55857,SCHW,17.59,28300000.0,1.0,17.59,-0.032441323658613165,-0.031352269690766106,,0.6062388344197067,,,,,-0.009221294415538806
2010-02-05,55857,SCHW,18.07,19700000.0,1.0,18.07,0.0269225458546704,0.002064759062967673,,0.6127746416572446,,,,,-0.0024202715597274127
2010-02-08,55857,SCHW,17.72,14700000.0,1.0,17.72,-0.01955915942720232,-0.007245385730093096,,0.3862330380505236,,,,,-0.007965654590302592
2010-02-09,55857,SCHW,17.5,16000000.0,1.0,17.5,-0.012493064247466445,0.01248197895702856,,0.521615414740301,,,,,-0.008173541552220658
2010-02-10,55857,SCHW,17.87,26000000.0,1.0,17.87,0.02092244824186829,-0.00196051036048179,,0.6884057359036744,,,,,-0.0033297106473486487
2010-02-11,55857,SCHW,17.68,9711690.0,1.0,17.68,-0.010689271961839315,0.010411918918535825,,0.7790985002878056,,,,,0.0010206996920061214
