Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2010-01-05,48638,USB,23.46,14500000.0,1.0,23.46,0.025033676713732324,0.0026436391850606,,0.7439408803524766,,,,,
2010-01-06,48638,USB,23.71,12300000.0,1.0,23.71,0.010600056851984651,0.0007037917067137724,,0.7428809821081531,,,,,
2010-01-07,48638,USB,24.17,15200000.0,1.0,24.17,0.019215294638077494,0.004212380076925267,,0.7297410479421502,,,,,
2010-01-08,48638,USB,24.21,9935095.0,1.0,24.21,0.0016535762345754436,0.00332226219197786,,0.7334087854575971,,,,,
2010-01-11,48638,USB,24.32,8482770.0,1.0,24.32,0.004533286147999213,0.0013955519055172563,,0.730133645367098,,,,,0.012207178117273825
2010-01-12,48638,USB,24.31,13100000.0,1.0,24.31,-0.00041126876993427726,-0.00937000594207626,,0.7443671969307768,,,,,0.0071181890205405055
2010-01-13,48638,USB,24.71,12700000.0,1.0,24.71,0.016320231672486793,0.008410773254615995,,0.7027855500272095,,,,,0.008262223984640934
2010-01-14,48638,USB,25.33,13400000.0,1.0,25.33,0.024781444013065087,0.002700938257075907,,0.689004728874536,,,,,0.009375453859638453
2010-01-15,48638,USB,24.62,13600000.0,1.0,24.62,-0.02843034325727631,-0.011287690394680128,,0.6239493269811415,,,,,0.0033586699612681
2010-01-19,48638,USB,24.49,15500000.0,1.0,24.49,-0.005294249792231189,0.012418174449160133,,0.664441303942771,,,,,0.0013931627732220201
2010-01-20,48638,USB,25.01,18600000.0,1.0,25.01,0.0210108739254515,-0.010220661148887651,,0.7345469144580279,,,,,0.005677591312299175
2010-01-21,48638,USB,25.14,24900000.0,1.0,25.14,0.005184458272573604,-0.019416364211104684,,0.8403286245488664,,,,,0.003450436632316538
2010-01-22,48638,USB,24.67,20000000.0,1.0,24.67,-0.018872272620836034,-0.022544071865518076,,0.827845712290199,,,,,-0.005280306694463687
2010-01-25,48638,USB,24.81,13700000.0,1.0,24.81,0.00565886716244422,0.005114633489588099,,0.8270849731656303,,,,,0.0015375353894804193
2010-01-26,48638,USB,24.31,15900000.0,1.0,24.31,-0.020359009375677684,-0.004199385393481015,,0.7907333778051269,,,,,-0.0014754165272088799
2010-01-27,48638,USB,25.12,19800000.0,1.0,25.12,0.032776553271966116,0.00474583349451048,,0.7752860779469316,,,,,0.0008777193420940437
2010-01-28,48638,USB,24.99,17800000.0,1.0,24.99,-0.005188596753137037,-0.01153858955649378,,0.7986555465052525,,,,,-0.0011968916630480844
2010-01-29,48638,USB,25.08,18300000.0,1.0,25.08,0.0035949709178590143,-0.010928058373635528,,0.8579049956790374,,,,,0.0032965570446909253
2010-02-01,48638,USB,25.18,12000000.0,1.0,25.18,0.003979312851481275,0.015431121627790404,,0.9277025787553099,,,,,0.0029606461824983363
2010-02-02,48638,USB,24.87,14800000.0,1.0,24.87,-0.012387770800887729,0.012030768513439743,,1.028913215209428,,,,,0.004554893897456327
2010-02-03,48638,USB,24.46,12400000.0,1.0,24.46,-0.016623127556287035,-0.004995242211100722,,0.987347580034189,,,,,-0.005325042268194302
2010-02-04,48638,USB,23.65,20600000.0,1.0,23.65,-0.03367601532108443,-0.031352269690766106,,0.9061422229785174,,,,,-0.011022525981783781
2010-02-05,48638,USB,23.97,22500000.0,1.0,23.97,0.013439933508351036,0.002064759062967673,,0.9110722197965591,,,,,-0.009053533463685377
2010-02-08,48638,USB,23.49,15800000.0,1.0,23.49,-0.02022824977547155,-0.007245385730093096,,0.8943021096394066,,,,,-0.013895045989075941
2010-02-09,48638,USB,23.49,13700000.0,1.0,23.49,0.0,0.01248197895702856,,0.9872575599931229,,,,,-0.011417491828898396
2010-02-10,48638,USB,23.61,12200000.0,1.0,23.61,0.005095552426600095,-0.00196051036048179,,1.162787250876248,,,,,-0.00707375583232097
2010-02-11,48638,USB,23.49,8753389.0,1.0,23.49,-0.00509555242660017,0.010411918918535825,,1.2526826201934622,,,,,-0.0013576632534241175
2010-02-12,48638,USB,23.26,16600000.0,1.0,23.26,-0.009839651580302906,-0.0008326780330307535,,1.2707538214570944,,,,,-0.006013580271154906
2010-02-16,48638,USB,23.86,11500000.0,1.0,23.86,0.02546826957925152,0.01561240270641446,,1.2520689527154782,,,,,0.003125723599789708
2010-02-17,48638,USB,23.73,22000000.0,1.0,23.73,-0.005463346222097805,0.004727281530708339,,1.2585516189624109,,,,,0.002033054355370147
2010-02-18,48638,USB,23.91,9076725.0,1.0,23.91,0.00755671102256124,0.005877848455112548,,1.2257604739607124,,,,,0.002525286074562376
2010-02-19,48638,USB,24.14,11800000.0,1.0,24.14,0.009573434199152176,0.002071606235124907,,1.26909405009728,,,,,0.005459083399712844
2010-02-22,48638,USB,24.55,12800000.0,1.0,24.55,0.016841638571144044,0.00017993702252784533,,1.2044755001797836,,,,,0.010795341430002233
2010-02-23,48638,USB,24.27,13300000.0,1.0,24.27,-0.011470834502019644,-0.012219005264681046,,1.240034268947013,,,,,0.0034075206137480023
2010-02-24,48638,USB,24.78,12000000.0,1.0,24.78,0.020795856462486523,0.009155663829581648,,1.2649751163693852,,,,,0.008659361150664869
2010-02-25,48638,USB,24.3,12500000.0,1.0,24.3,-0.019560525854493596,-0.001354463162509514,,1.2233693755862052,,,,,0.0032359137752539014
2010-02-26,48638,USB,24.61,9446453.0,1.0,24.61,0.012676514056461589,0.0006323111181270344,,1.2320704464889607,,,,,0.003856529746715783
2010-03-01,48638,USB,24.51,6843481.0,1.0,24.51,-0.004071666862943192,0.010331134424808697,,1.2615310846608025,,,,,-0.0003261313401016642
2010-03-02,48638,USB,24.74,7909431.0,1.0,24.74,0.009340169424320581,0.002766747268966235,,1.2492058586612775,,,,,0.0038360694451663804
2010-03-03,48638,USB,24.65,8392479.0,1.0,24.65,-0.0036444664756427173,0.0008908686558014111,,1.2061727630509596,,,,,-0.0010519951424594672
2010-03-04,48638,USB,24.74,7835929.0,1.0,24.74,0.00364446647564263,0.0030319084668361767,,1.192064448327994,,,,,0.003589003323567778
2010-03-05,48638,USB,25.2,9443040.0,1.0,25.2,0.018422627553035857,0.014183259563080464,,1.2021451385841724,,,,,0.0047382260228826314
2010-03-08,48638,USB,24.99,8185789.0,1.0,24.99,-0.00836824967051669,0.0001750393843082113,,1.1979105381116086,,,,,0.003878909461367931
2010-03-09,48638,USB,24.67,13300000.0,1.0,24.67,-0.012887814305595605,0.0016613478223339018,,1.1792152103800544,,,,,-0.0005666872846153054
2010-03-10,48638,USB,24.96,12000000.0,1.0,24.96,0.011686612959961658,0.004445807784692657,0.7416899113065105,1.1860502660824228,0.00023737246485471873,,,0.0019335861553251127,0.0024995286025055697
2010-03-11,48638,USB,25.47,14600000.0,1.0,25.47,0.020226745490138708,0.0041663110348556355,0.7439408803524766,1.2104899468348729,0.00023283864701184676,,,0.0018267654614674768,0.005815984405404785
2010-03-12,48638,USB,25.67,14200000.0,1.0,25.67,0.00782170589168353,8.661383228309462e-05,0.7428809821081531,1.2104286623543832,0.00023190221815739862,,,0.0017650243290163409,0.0036958000731343197
2010-03-15,48638,USB,25.9,8396033.0,1.0,25.9,0.008919973822442823,0.000259796494208626,0.7297410479421502,1.272387835355285,0.0002260914443932781,,,0.0015362394220022372,0.007153444771726222
2010-03-16,48638,USB,26.12,10700000.0,1.0,26.12,0.008458335702738318,0.007934496133153618,0.7334087854575971,1.2742592288390404,0.00022715673199591915,,0.00023107230128263228,0.001687456299072523,0.011422674773393007
2010-03-17,48638,USB,26.21,11900000.0,1.0,26.21,0.0034397129270846505,0.005909828343521985,0.730133645367098,1.233702697808792,0.00022704184745393538,,0.00022900617780247562,0.0016631546719410885,0.009773294766817606
2010-03-18,48638,USB,25.99,8568416.0,1.0,25.99,-0.008429168681916137,-0.0005338743386641581,0.7443671969307768,1.2629398545324444,0.000229226464824551,,0.00022828374136501646,0.0014849791183414918,0.004042111932406637
2010-03-19,48638,USB,26.14,14000000.0,1.0,26.14,0.005754859542677064,-0.009162859296395619,0.7027855500272095,1.2781645140919309,0.00022458252297300396,,0.0002268198023281375,0.0012501930710123864,0.0036287426626053438
2010-03-22,48638,USB,26.22,9702622.0,1.0,26.22,0.003055770139477842,0.0053534124090185275,0.689004728874536,1.2848270680097649,0.00021183368978567698,,0.00022396825140661732,0.0007674003182660033,0.0024559019260123474
2010-03-23,48638,USB,26.25,9573675.0,1.0,26.25,0.0011435107020790205,0.006987133264489975,0.6239493269811415,1.2948682160083735,0.00019201999406460969,,0.0002169409038203554,0.0014245970729183438,0.0009929369258804878
2010-03-24,48638,USB,26.19,7370267.0,1.0,26.19,-0.0022883305180121626,-0.0048666051225801634,0.664441303942771,1.2623053673835818,0.00019130276993013204,,0.00020979308831559472,0.0014913952790121,-0.0001526717631388749
2010-03-25,48638,USB,26.17,10600000.0,1.0,26.17,-0.0007639419775660732,-0.0016274790521012509,0.7345469144580279,1.266235908544123,0.00018251958804651306,,0.00020045171295998715,0.0010075104811672652,0.001380373577731138
2010-03-26,48638,USB,26.05,10800000.0,1.0,26.05,-0.004595948342678625,-0.0005831103958871961,0.8403286245488664,1.2768359643557337,0.0001827883644372547,,0.0001920928812528373,0.000790168111939438,-0.0006897879993399998
2010-03-29,48638,USB,25.96,6911351.0,1.0,25.96,-0.0034608763634867085,0.006310356037698481,0.827845712290199,1.2773305140013689,0.00017429249576336349,,0.00018458464244837462,0.0011326435843249784,-0.00199311729993291
2010-03-30,48638,USB,25.86,9123985.0,1.0,25.86,-0.0038595184921779158,0.0006816632847458644,0.8270849731656303,1.2684938483551802,0.00017434753340926385,,0.00018105015031730543,0.0009211239031111531,-0.002993723138784297
2010-03-31,48638,USB,25.88,8451241.0,1.0,25.88,0.0007730962889884549,-0.0034129725962399574,0.7907333778051269,1.227394398615432,0.0001638305823495144,,0.0001755557128011819,0.001390726251214845,-0.0023814377773841737
2010-04-01,48638,USB,26.24,6820308.0,1.0,26.24,0.013814494443188514,0.006814336419730188,0.7752860779469316,1.224257371067216,0.00014476898378839616,,0.0001680055919495585,0.0009693471661308984,0.000534249506766744
2010-04-05,48638,USB,26.47,7865821.0,1.0,26.47,0.00872705216312163,0.008116378678072755,0.7986555465052525,1.2247002458410545,0.00014517713117378824,,0.0001604833452968652,0.0012785838087144244,0.0031988496079267945
2010-04-06,48638,USB,27.08,12500000.0,1.0,27.08,0.02278343180506429,0.0023549211892227987,0.8579049956790374,1.2164711418012892,0.0001553796466705467,,0.00015670077547830187,0.0017049940506523192,0.008447711241636995
2010-04-07,48638,USB,26.7,12400000.0,1.0,26.7,-0.01413188263787038,-0.005728743552772857,0.9277025787553099,1.247408809206308,0.00016079657635424953,,0.000153990584067299,0.0013025230397778382,0.006393238412498501
2010-04-08,48638,USB,27.13,14200000.0,1.0,27.13,0.015976561264636504,0.003479071119080793,1.028913215209428,1.2316231461724625,0.00016102441020456003,,0.00015342934963830812,0.0019328415301228213,0.009433931407628111
2010-04-09,48638,USB,27.16,7430075.0,1.0,27.16,0.0011051760196549595,0.00652479525324404,0.987347580034189,1.2348476226921112,0.00015305570016318788,,0.00015508669291326648,0.002326803831810421,0.006892067722921401
2010-04-12,48638,USB,27.51,11000000.0,1.0,27.51,0.01280427224598775,0.0015880315928723258,0.9061422229785174,1.2145965056272483,0.00012500036124970994,,0.00015105133892845082,0.0033596991110786912,0.007707511739494624
2010-04-13,48638,USB,27.53,13900000.0,1.0,27.53,0.000726744218032764,0.0007513461972192045,0.9110722197965591,1.214205924049616,0.00012276694432369344,,0.00014452879845908015,0.003077183793516064,0.00329617422208832
2010-04-14,48638,USB,28.25,14900000.0,1.0,28.25,0.02581713843793399,0.011285490285970793,0.8943021096394066,1.1997353819510475,0.00012110438163526054,,0.00013659035951528236,0.004100414642702853,0.011285978437249194
2010-04-15,48638,USB,28.26,18900000.0,1.0,28.26,0.0003539196639313791,0.0008248103403932753,0.9872575599931229,1.1953880100577838,0.00012104120074543505,,0.00012859371762345736,0.00410827952412355,0.008161450117108168
2010-04-16,48638,USB,27.45,28900000.0,1.0,27.45,-0.02908120930084185,-0.016040235865338533,1.162787250876248,1.1855033727790747,0.00014546417281026327,,0.00012707541215287244,0.0033487959301803957,0.002124173053008807
2010-04-19,48638,USB,27.61,15100000.0,1.0,27.61,0.005811857986523328,0.0037630181963568916,1.2526826201934622,1.1664720832975124,0.0001439213510408707,,0.00013085961011110458,0.0035911828282498073,0.000725690201115923
2010-04-20,48638,USB,28.21,23500000.0,1.0,28.21,0.02149849907184184,0.008891163312676437,1.2707538214570944,1.156881481467158,0.0001466136389751716,,0.00013562894904140023,0.004287586176075247,0.004880041171877738
2010-04-21,48638,USB,27.94,21700000.0,1.0,27.94,-0.009617171185089188,-0.001821644951868451,1.2520689527154782,1.158896701994355,0.0001401901306920903,,0.0001394460988527662,0.0035079097146454527,-0.0022068207527268977
2010-04-22,48638,USB,27.37,27300000.0,1.0,27.37,-0.020611830776228066,0.0029791481815596163,1.2585516189624109,1.1829444738282764,0.00015146692543331118,,0.00014553124379034142,0.003171276724553669,-0.006399970840758787
2010-04-23,48638,USB,27.3,11100000.0,1.0,27.3,-0.002560820861673704,0.006527156073604297,1.2257604739607124,1.1899622891755923,0.00015172488323259736,,0.00014678338587480823,0.002946442682681782,-0.0010958931529251573
2010-04-26,48638,USB,26.87,11400000.0,1.0,26.87,-0.015876279563514135,-0.0038040450951692647,1.26909405009728,1.1573164582412125,0.00015845181030245162,,0.00014968947772712443,0.0023808934879558635,-0.00543352066293265
2010-04-27,48638,USB,26.23,21000000.0,1.0,26.23,-0.024106628748617565,-0.023934762213066955,1.2044755001797836,1.1631443484688941,0.00016879759074070932,,0.00015412626808023198,0.001470931991961161,-0.014554546227024531
2010-04-28,48638,USB,26.57,12400000.0,1.0,26.57,0.01287896589293973,0.0075675127809603565,1.240034268947013,1.1595245110366206,0.00016764936523983934,,0.0001596181149897818,0.0020120386674047025,-0.010055318811418747
