Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2010-01-05,63755,VTI,57.53,1597643.0,1.0,57.53,0.0038314223115558676,0.0026436391850606,,1.0196195651927027,,,,,
2010-01-06,63755,VTI,57.61,2120206.0,1.0,57.61,0.0013896128690897404,0.0007037917067137724,,1.0195902775242776,,,,,
2010-01-07,63755,VTI,57.85,1656639.0,1.0,57.85,0.0041572898953938665,0.004212380076925267,,1.0198347138336041,,,,,
2010-01-08,63755,VTI,58.04,1650019.0,1.0,58.04,0.0032789743763015347,0.00332226219197786,,1.0198321403067712,,,,,
2010-01-11,63755,VTI,58.12,1883013.0,1.0,58.12,0.0013774106860950765,0.0013955519055172563,,1.0201495175174757,,,,,0.0028069420276872173
2010-01-12,63755,VTI,57.52,1730026.0,1.0,57.52,-0.01037712528929076,-0.00937000594207626,,1.0181676752144548,,,,,-3.476749248210835e-05
2010-01-13,63755,VTI,58.06,1825157.0,1.0,58.06,0.00934424518369258,0.008410773254615995,,1.0113564419322894,,,,,0.0015561589704384594
2010-01-14,63755,VTI,58.16,1667014.0,1.0,58.16,0.0017208746287800613,0.002700938257075907,,1.0136678344601675,,,,,0.0010688759171156984
2010-01-15,63755,VTI,57.5,2787124.0,1.0,57.5,-0.011412885421959059,-0.011287690394680128,,1.0126085339100253,,,,,-0.0018694960425364206
2010-01-19,63755,VTI,58.26,2546626.0,1.0,58.26,0.013130803727983809,0.012418174449160133,,1.013148318115231,,,,,0.000481182565841326
2010-01-20,63755,VTI,57.72,2755045.0,1.0,57.72,-0.00931201762561836,-0.010220661148887651,,1.0175782523471495,,,,,0.0006942040985758059
2010-01-21,63755,VTI,56.66,4350660.0,1.0,56.66,-0.018535239503299623,-0.019416364211104684,,1.0236503183002525,,,,,-0.004881692838822635
2010-01-22,63755,VTI,55.41,4422970.0,1.0,55.41,-0.02230841152311217,-0.022544071865518076,,1.0279976259035097,,,,,-0.00968755006920108
2010-01-25,63755,VTI,55.65,2781032.0,1.0,55.65,0.004321994842295551,0.005114633489588099,,1.029178177991669,,,,,-0.0065405740163501595
2010-01-26,63755,VTI,55.4,1704225.0,1.0,55.4,-0.004502483968315679,-0.004199385393481015,,1.0280561189075397,,,,,-0.010067231555610057
2010-01-27,63755,VTI,55.67,2078159.0,1.0,55.67,0.004861808442178341,0.00474583349451048,,1.0283375069333711,,,,,-0.007232466342050716
2010-01-28,63755,VTI,55.01,2235012.0,1.0,55.01,-0.011926415308049804,-0.01153858955649378,,1.0301828437588034,,,,,-0.005910701503000751
2010-01-29,63755,VTI,54.36,2421892.0,1.0,54.36,-0.011886397604423771,-0.010928058373635528,,1.0268161913483511,,,,,-0.0038262987192630724
2010-02-01,63755,VTI,55.19,2133111.0,1.0,55.19,0.015153188168466938,0.015431121627790404,,1.0297726141071004,,,,,-0.001660060054028795
2010-02-02,63755,VTI,55.9,2565462.0,1.0,55.9,0.012782602709643603,0.012030768513439743,,1.0278464725425434,,,,,0.0017969572815630616
2010-02-03,63755,VTI,55.62,1352513.0,1.0,55.62,-0.0050215313552347,-0.004995242211100722,,1.027695488314454,,,,,-0.00017971067791954648
2010-02-04,63755,VTI,53.89,3029617.0,1.0,53.89,-0.031597916860413376,-0.031352269690766106,,1.0390466851583007,,,,,-0.004114010988392261
2010-02-05,63755,VTI,53.98,5416145.0,1.0,53.98,0.0016686756444532459,0.002064759062967673,,1.0387048874381848,,,,,-0.0014029963386168575
2010-02-08,63755,VTI,53.56,1494287.0,1.0,53.56,-0.007811086766886709,-0.007245385730093096,,1.037998283213408,,,,,-0.005995851325687587
2010-02-09,63755,VTI,54.27,2191610.0,1.0,54.27,0.013169067252341718,0.01248197895702856,,1.0368945837635835,,,,,-0.005918558417147964
2010-02-10,63755,VTI,54.19,1340710.0,1.0,54.19,-0.0014751984972907219,-0.00196051036048179,,1.0298649444212076,,,,,-0.005209291845559167
2010-02-11,63755,VTI,54.77,1302482.0,1.0,54.77,0.010646209217607124,0.010411918918535825,,1.0297243896510662,,,,,0.0032395333700449324
2010-02-12,63755,VTI,54.77,2189026.0,1.0,54.77,0.0,-0.0008326780330307535,,1.0317671578928362,,,,,0.002905798241154283
2010-02-16,63755,VTI,55.69,1186410.0,1.0,55.69,0.016657998805947247,0.01561240270641446,,1.0252393522523457,,,,,0.0077996153557210735
2010-02-17,63755,VTI,56.0,1935984.0,1.0,56.0,0.005551093133572135,0.004727281530708339,,1.0252344176338601,,,,,0.006276020531967158
2010-02-18,63755,VTI,56.32,1537330.0,1.0,56.32,0.005698021114637796,0.005877848455112548,,1.0261623796282524,,,,,0.007710664454352862
2010-02-19,63755,VTI,56.52,1862941.0,1.0,56.52,0.003544845966539831,0.002071606235124907,,1.025268431273839,,,,,0.006290391804139403
2010-02-22,63755,VTI,56.43,3049478.0,1.0,56.43,-0.001593625835278036,0.00017993702252784533,,1.0241225300737458,,,,,0.005971666637083795
2010-02-23,63755,VTI,55.75,2144629.0,1.0,55.75,-0.01212352164082058,-0.012219005264681046,,1.0216463184542335,,,,,0.00021536254773022977
2010-02-24,63755,VTI,56.25,1689525.0,1.0,56.25,0.008928630744301398,0.009155663829581648,,1.0250412476348485,,,,,0.0008908700698760823
2010-02-25,63755,VTI,56.23,2956042.0,1.0,56.23,-0.00035561878041928614,-0.001354463162509514,,1.025590813661489,,,,,-0.000319857909135334
2010-02-26,63755,VTI,56.23,1272565.0,1.0,56.23,0.0,0.0006323111181270344,,1.025377708482735,,,,,-0.0010288271024433003
2010-03-01,63755,VTI,56.9,1580069.0,1.0,56.9,0.011844918828174986,0.010331134424808697,,1.025192367464961,,,,,0.0016588818302473046
2010-03-02,63755,VTI,57.08,1988835.0,1.0,57.08,0.0031584514763504743,0.002766747268966235,,1.0298498102498508,,,,,0.004715276453681515
2010-03-03,63755,VTI,57.15,1617898.0,1.0,57.15,0.0012255976321839104,0.0008908686558014111,,1.026555918953489,,,,,0.003174669831258018
2010-03-04,63755,VTI,57.3,1636696.0,1.0,57.3,0.002621233479874287,0.0030319084668361767,,1.0390423790531933,,,,,0.0037700402833167326
2010-03-05,63755,VTI,58.21,2699097.0,1.0,58.21,0.01575653756295031,0.014183259563080464,,1.03747401338827,,,,,0.006921347795906795
2010-03-08,63755,VTI,58.22,2027597.0,1.0,58.22,0.00017177703383308877,0.0001750393843082113,,1.036404776483512,,,,,0.0045867194370384145
2010-03-09,63755,VTI,58.34,4736853.0,1.0,58.34,0.0020590261220982016,0.0016613478223339018,,1.0394563081944908,,,,,0.00436683436618796
