Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2010-01-05,59815,XLE,59.29,17400000.0,1.0,59.29,0.008128749247411735,0.0026436391850606,,1.23879730307917,,,,,
2010-01-06,59815,XLE,60.0,24400000.0,1.0,60.0,0.011903904502824391,0.0007037917067137724,,1.237756447158204,,,,,
2010-01-07,59815,XLE,59.91,17500000.0,1.0,59.91,-0.0015011261262672026,0.004212380076925267,,1.242912248347821,,,,,
2010-01-08,59815,XLE,60.3,13300000.0,1.0,60.3,0.0064886676373062694,0.00332226219197786,,1.2408739742533823,,,,,
2010-01-11,59815,XLE,60.22,19500000.0,1.0,60.22,-0.0013275806795519142,0.0013955519055172563,,1.2470246612936429,,,,,0.004738522916344656
2010-01-12,59815,XLE,59.35,21500000.0,1.0,59.35,-0.014552401997910698,-0.00937000594207626,,1.2463572263022922,,,,,0.00020229266728016907
2010-01-13,59815,XLE,59.57,22100000.0,1.0,59.57,0.00369997058491903,0.008410773254615995,,1.262850529771924,,,,,-0.0014384941163009032
2010-01-14,59815,XLE,59.74,15500000.0,1.0,59.74,0.0028497211473676037,0.002700938257075907,,1.2531830176590433,,,,,-0.0005683246615739419
2010-01-15,59815,XLE,59.26,19100000.0,1.0,59.26,-0.00806727064254457,-0.011287690394680128,,1.2688526369502933,,,,,-0.0034795123175441096
2010-01-19,59815,XLE,59.8,14600000.0,1.0,59.8,0.0090711188111669,0.012418174449160133,,1.2807678202870891,,,,,-0.001399772419400347
2010-01-20,59815,XLE,58.87,15600000.0,1.0,58.87,-0.01567403791641604,-0.010220661148887651,,1.2849708112722922,,,,,-0.001624099603101415
2010-01-21,59815,XLE,57.67,25200000.0,1.0,57.67,-0.020594515412848704,-0.019416364211104684,,1.3175423167129992,,,,,-0.006482996802654961
2010-01-22,59815,XLE,56.3,23000000.0,1.0,56.3,-0.0240425724816766,-0.022544071865518076,,1.3943818757982058,,,,,-0.011861455528463802
2010-01-25,59815,XLE,56.67,15900000.0,1.0,56.67,0.0065504350358831795,0.005114633489588099,,1.3922395958424298,,,,,-0.008937914392778253
2010-01-26,59815,XLE,56.31,21500000.0,1.0,56.31,-0.006372830915000726,-0.004199385393481015,,1.3771555619067217,,,,,-0.01202670433801178
2010-01-27,59815,XLE,56.09,26600000.0,1.0,56.09,-0.003914595746281569,0.00474583349451048,,1.4024641844492394,,,,,-0.009674815903984883
2010-01-28,59815,XLE,55.5,34400000.0,1.0,55.5,-0.010574522767856807,-0.01153858955649378,,1.4483456848264002,,,,,-0.007670817374986505
2010-01-29,59815,XLE,54.5,32800000.0,1.0,54.5,-0.018182319083190474,-0.010928058373635528,,1.4434436445945014,,,,,-0.006498766695289279
2010-02-01,59815,XLE,56.3,21800000.0,1.0,56.3,0.0324938334764462,0.015431121627790404,,1.3867579147329525,,,,,-0.0013100870071766745
2010-02-02,59815,XLE,57.04,22300000.0,1.0,57.04,0.013058240960395803,0.012030768513439743,,1.3954057674413045,,,,,0.0025761273679026308
2010-02-03,59815,XLE,56.55,19700000.0,1.0,56.55,-0.008627573543911067,-0.004995242211100722,,1.4000759781156322,,,,,0.0016335318083767318
2010-02-04,59815,XLE,54.23,37200000.0,1.0,54.23,-0.04189094170916014,-0.031352269690766106,,1.4773975519849296,,,,,-0.004629751979883935
2010-02-05,59815,XLE,54.24,46400000.0,1.0,54.24,0.00018438277917089282,0.002064759062967673,,1.480684479408183,,,,,-0.0009564116074116623
2010-02-08,59815,XLE,53.74,24100000.0,1.0,53.74,-0.009261040444794913,-0.007245385730093096,,1.4711991537074398,,,,,-0.009307386391659886
2010-02-09,59815,XLE,54.87,33600000.0,1.0,54.87,0.020809147883538687,0.01248197895702856,,1.4397353200038796,,,,,-0.007757205007031309
2010-02-10,59815,XLE,54.64,24200000.0,1.0,54.64,-0.0042005358083493,-0.00196051036048179,,1.3544182565019545,,,,,-0.006871797459918956
2010-02-11,59815,XLE,55.57,22900000.0,1.0,55.57,0.016877272029295183,0.010411918918535825,,1.3310099354915244,,,,,0.004881845287772109
2010-02-12,59815,XLE,55.59,19800000.0,1.0,55.59,0.0003598416735483598,-0.0008326780330307535,,1.3722659401439643,,,,,0.004916937066647603
2010-02-16,59815,XLE,56.9,19800000.0,1.0,56.9,0.023292012166907128,0.01561240270641446,,1.3334889220761565,,,,,0.01142754758898801
2010-02-17,59815,XLE,56.82,18100000.0,1.0,56.82,-0.0014069647062433055,0.004727281530708339,,1.3446652632910678,,,,,0.0069843250710316124
2010-02-18,59815,XLE,57.14,16600000.0,1.0,57.14,0.005616020376585231,0.005877848455112548,,1.395868328879139,,,,,0.008947636308018519
2010-02-19,59815,XLE,57.36,16500000.0,1.0,57.36,0.003842799488737907,0.002071606235124907,,1.3844362035239457,,,,,0.006340741799907063
2010-02-22,59815,XLE,56.57,17400000.0,1.0,56.57,-0.013868386936300587,0.00017993702252784533,,1.3424368988886204,,,,,0.0034950960779372734
