Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,Beta_45,Future_Beta_45,SPY_Log_Return
2010-01-04,43607,ALXN,48.25,564095.0,1.0,48.25,-1.1908088177991552,,1.9897728257480027,-0.4524903585476407
2010-01-05,43607,ALXN,47.56,463767.0,1.0,47.56,-0.7190903186364204,,1.915471166154258,-0.2531901065659378
2010-01-06,43607,ALXN,47.68,586912.0,1.0,47.68,-1.3404282942856431,,1.8445264001707344,-0.573229249571893
2010-01-07,43607,ALXN,47.86,355260.0,1.0,47.86,-1.3132225294759745,,1.746235105296256,-0.5595532335913158
2010-01-08,43607,ALXN,47.95,367384.0,1.0,47.95,-1.3659107517390623,,1.670923297866215,-0.568615184583788
2010-01-11,43607,ALXN,47.66,337828.0,1.0,47.66,-1.0427366537000706,,2.2085613635190744,-0.473114796048648
2010-01-12,43607,ALXN,47.0,597276.0,1.0,47.0,-0.7589149989933766,,2.175203524074809,-0.2576971280432469
2010-01-13,43607,ALXN,47.14,469833.0,1.0,47.14,-1.3583295360183898,,2.124120825518602,-0.5698580439507263
2010-01-14,43607,ALXN,47.67,467708.0,1.0,47.67,-1.324256033338563,,2.1191947244340144,-0.5643404112215136
2010-01-15,43607,ALXN,47.41,710453.0,1.0,47.41,-1.3082359030240558,,2.1190187011061146,-0.5695725909792059
2010-01-19,43607,ALXN,47.63,587225.0,1.0,47.63,-0.7155687135656276,,2.171803607249384,-0.2539857899003737
2010-01-20,43607,ALXN,46.93,593361.0,1.0,46.93,-1.380310158606917,,2.1306997238482084,-0.5898722730181601
2010-01-21,43607,ALXN,46.83,762232.0,1.0,46.83,-1.3632899447611828,,2.0964581219103784,-0.5927232314930553
2010-01-22,43607,ALXN,46.2,591517.0,1.0,46.2,-1.3558574678415225,,2.08553985519271,-0.6203273558695568
2010-01-25,43607,ALXN,46.19,434987.0,1.0,46.19,-1.0623862930460417,,2.1869352603816,-0.4883838241038991
2010-01-26,43607,ALXN,45.5,475983.0,1.0,45.5,-0.7327904586888786,,2.1946778757157914,-0.3181126911095728
2010-01-27,43607,ALXN,45.74,1050734.0,1.0,45.74,-1.3852006281004356,,2.213716065576357,-0.6262689795291642
2010-01-28,43607,ALXN,45.8,781957.0,1.0,45.8,-1.3706707624327443,,2.169027419323832,-0.624529243710493
2010-01-29,43607,ALXN,46.37,459228.0,1.0,46.37,-1.3438941324101594,,2.131462819159057,-0.6225500537921849
2010-02-01,43607,ALXN,47.35,527677.0,1.0,47.35,-1.3527932681568071,,2.054198761745265,-0.6327689523729032
2010-02-02,43607,ALXN,48.65,908445.0,1.0,48.65,-1.3208921577636676,,2.1223426268879524,-0.6430833300754399
2010-02-03,43607,ALXN,49.12,815924.0,1.0,49.12,-0.5333310523774535,,2.065225664365879,-0.2211931847744986
2010-02-04,43607,ALXN,48.02,673050.0,1.0,48.02,-1.3074093545636052,,2.0677237703862126,-0.6546477404848611
2010-02-05,43607,ALXN,46.78,736073.0,1.0,46.78,-1.337955676890646,,2.011982745311404,-0.6487678630747029
2010-02-08,43607,ALXN,45.97,407635.0,1.0,45.97,-1.2696187716226677,,2.0214729459198626,-0.52877667154777
2010-02-09,43607,ALXN,46.91,446628.0,1.0,46.91,-0.6914403314150291,,2.0283750774142373,-0.347681066562138
2010-02-10,43607,ALXN,47.48,540706.0,1.0,47.48,-0.723331497696261,,2.0678865706985943,-0.3459456909838223
