Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,Beta_45,Future_Beta_45,SPY_Log_Return
2010-08-25,151861,AMLP,14.98,928592.0,1.0,14.98,0.0360215635306323,,0.086051324503172,-0.5817799458459634
2010-08-26,151861,AMLP,15.07,1264113.0,1.0,15.07,0.0887623208331938,,0.0698004456784587,-0.5764029950196963
2010-08-27,151861,AMLP,15.1,1363779.0,1.0,15.1,0.073496849706509,,0.08316403841255,-0.5987069198518858
2010-08-30,151861,AMLP,14.96,1022425.0,1.0,14.96,-0.0126205594090469,,0.0851898647704152,-0.6891891532620834
2010-08-31,151861,AMLP,14.95,344774.0,1.0,14.95,-0.1471506032975937,,0.1027335252479058,-0.4408216195546837
2010-09-01,151861,AMLP,15.07,496850.0,1.0,15.07,-0.1523479372734707,,0.027113591049215,-0.4453499127272259
2010-09-02,151861,AMLP,15.16,896296.0,1.0,15.16,-0.2388506805195676,,0.0707983941038606,-0.6061607166858265
2010-09-03,151861,AMLP,15.19,416523.0,1.0,15.19,0.2774210938738902,,,-0.5285413381117228
2010-09-07,151861,AMLP,15.13,454759.0,1.0,15.13,-0.1317121578550173,,,-0.4150264517502529
2010-09-08,151861,AMLP,15.12,412628.0,1.0,15.12,-0.0782095265918756,,,-0.2679016349284265
2010-09-09,151861,AMLP,15.17,829481.0,1.0,15.17,0.0583611997920813,,,-0.5765748703885603
2010-09-10,151861,AMLP,15.18,512192.0,1.0,15.18,0.0632218652528244,,0.111743302133539,-0.5424335943948579
2010-09-13,151861,AMLP,15.25,571634.0,1.0,15.25,-0.2177519937734552,,0.091141597464449,-0.569051010180159
2010-09-14,151861,AMLP,15.23,493626.0,1.0,15.23,-0.1233848836327678,,0.0714015369557034,-0.4075638067989957
2010-09-15,151861,AMLP,15.19,649499.0,1.0,15.19,0.1010540968278018,,0.084466780477647,-0.5500701455117941
2010-09-16,151861,AMLP,15.19,670097.0,1.0,15.19,0.1025118230334584,,0.0746733714664493,-0.5627573697621168
2010-09-17,151861,AMLP,15.199,636925.0,1.0,15.199,0.091501401887584,,0.066787022338828,-0.5763526329861383
2010-09-20,151861,AMLP,15.26,486281.0,1.0,15.26,0.0600923257653774,,0.0316091147880682,-0.5370610563093365
2010-09-21,151861,AMLP,15.29,509353.0,1.0,15.29,-0.137284967003066,,0.0181379673500687,-0.4040017931465897
2010-09-22,151861,AMLP,15.33,537490.0,1.0,15.33,0.095049287551345,,0.0315168595295075,-0.5493611056608415
2010-09-23,151861,AMLP,15.26,549945.0,1.0,15.26,0.1078391930222317,,0.0141947937108817,-0.544458690185856
2010-09-24,151861,AMLP,15.28,977527.0,1.0,15.28,0.1493628578412033,,0.0715822273463553,-0.522428490102986
2010-09-27,151861,AMLP,15.319,393274.0,1.0,15.319,-0.2158712684697787,,,-0.5491977834498978
2010-09-28,151861,AMLP,15.35,423888.0,1.0,15.35,-0.1356464182238247,,,-0.387301670311923
2010-09-29,151861,AMLP,15.41,599960.0,1.0,15.41,0.2262307257540809,,,-0.4961823729743087
2010-09-30,151861,AMLP,15.45,1283947.0,1.0,15.45,0.0738590611381243,,,-0.5384779516360146
