Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,Beta_45,Future_Beta_45,SPY_Log_Return
2010-01-04,43145,CB,49.27,2670413.0,1.0,49.27,-0.6439560835819879,,1.2544307615105548,-0.4524903585476407
2010-01-05,43145,CB,48.16,9280361.0,1.0,48.16,-0.5360852905252286,,1.224188190792939,-0.2531901065659378
2010-01-06,43145,CB,47.5,5479059.0,1.0,47.5,-0.862845539326117,,1.1955764416991177,-0.573229249571893
2010-01-07,43145,CB,47.77,7213253.0,1.0,47.77,-0.8483439950155117,,1.1593812889243087,-0.5595532335913158
2010-01-08,43145,CB,47.5,2484192.0,1.0,47.5,-0.8681614019372547,,1.1142089020542594,-0.568615184583788
2010-01-11,43145,CB,48.01,3899069.0,1.0,48.01,-0.7203716263262264,,1.3404902690683902,-0.473114796048648
2010-01-12,43145,CB,48.11,3012722.0,1.0,48.11,-0.5424547971659801,,1.3129294294982683,-0.2576971280432469
2010-01-13,43145,CB,48.27,2293808.0,1.0,48.27,-0.841688621622693,,1.3044995602903724,-0.5698580439507263
2010-01-14,43145,CB,48.73,2444658.0,1.0,48.73,-0.8337207208017173,,1.2935931026592846,-0.5643404112215136
2010-01-15,43145,CB,48.21,2105079.0,1.0,48.21,-0.8235493304130882,,1.2969447783023336,-0.5695725909792059
2010-01-19,43145,CB,48.82,2328676.0,1.0,48.82,-0.5335879365606196,,1.3041829715122428,-0.2539857899003737
2010-01-20,43145,CB,48.74,1519230.0,1.0,48.74,-0.8535506199848494,,1.2811437717310636,-0.5898722730181601
2010-01-21,43145,CB,48.41,2192714.0,1.0,48.41,-0.8250375869325808,,1.2752783204978186,-0.5927232314930553
2010-01-22,43145,CB,47.89,3630275.0,1.0,47.89,-0.836470732050599,,1.260715883894396,-0.6203273558695568
2010-01-25,43145,CB,48.44,1607701.0,1.0,48.44,-0.6435257461256115,,1.3072206304826723,-0.4883838241038991
2010-01-26,43145,CB,48.55,2622710.0,1.0,48.55,-0.5640490830225201,,1.3156099472054024,-0.3181126911095728
