Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,Beta_45,Future_Beta_45,SPY_Log_Return
2010-01-04,46579,CVS,32.98,14700000.0,1.0,32.98,-0.7194802401334818,,1.867118197839274,-0.4524903585476407
2010-01-05,46579,CVS,32.85,7512495.0,1.0,32.85,-0.4198712404948595,,1.8967192812965057,-0.2531901065659378
2010-01-06,46579,CVS,32.56,11300000.0,1.0,32.56,-1.0619109218176817,,1.9390362764180824,-0.573229249571893
2010-01-07,46579,CVS,33.76,17900000.0,1.0,33.76,-1.0264619324909086,,1.9774656970314288,-0.5595532335913158
2010-01-08,46579,CVS,34.0,21900000.0,1.0,34.0,-1.037258234213695,,2.00184341954853,-0.568615184583788
2010-01-11,46579,CVS,33.93,9829141.0,1.0,33.93,-0.7171710483162558,,1.7734276531765307,-0.473114796048648
2010-01-12,46579,CVS,33.56,11700000.0,1.0,33.56,-0.4243558705777183,,1.777432501552472,-0.2576971280432469
2010-01-13,46579,CVS,33.97,11400000.0,1.0,33.97,-1.0512929292939008,,1.8009661717476764,-0.5698580439507263
2010-01-14,46579,CVS,33.95,9664710.0,1.0,33.95,-1.0522932954432174,,1.7731596481464842,-0.5643404112215136
2010-01-15,46579,CVS,33.91,14300000.0,1.0,33.91,-1.054397310300855,,1.748050959090062,-0.5695725909792059
2010-01-19,46579,CVS,33.95,8592811.0,1.0,33.95,-0.428468014916418,,1.7555744093889591,-0.2539857899003737
2010-01-20,46579,CVS,33.85,9541285.0,1.0,33.85,-1.0329899701930605,,1.7864767567341364,-0.5898722730181601
2010-01-21,46579,CVS,33.24,12100000.0,1.0,33.24,-1.0849819095374191,,1.774522106312451,-0.5927232314930553
2010-01-22,46579,CVS,33.24,11000000.0,1.0,33.24,-1.0964036741772996,,1.80853854744291,-0.6203273558695568
2010-01-25,46579,CVS,33.04,7404019.0,1.0,33.04,-0.7163327229340712,,1.7731585357141133,-0.4883838241038991
2010-01-26,46579,CVS,32.81,7440231.0,1.0,32.81,-0.4578144331375079,,1.7991265871122852,-0.3181126911095728
2010-01-27,46579,CVS,32.47,10600000.0,1.0,32.47,-1.1349029357263385,,1.7963032868524726,-0.6262689795291642
2010-01-28,46579,CVS,32.33,14000000.0,1.0,32.33,-1.137341156917143,,1.7947535839937103,-0.624529243710493
2010-01-29,46579,CVS,32.37,11500000.0,1.0,32.37,-1.1239300966523995,,1.81260041400489,-0.6225500537921849
2010-02-01,46579,CVS,32.92,7311072.0,1.0,32.92,-1.0595859673121066,,1.69770459823205,-0.6327689523729032
2010-02-02,46579,CVS,33.38,9421125.0,1.0,33.38,-1.1230759272801298,,1.7247487357990137,-0.6430833300754399
2010-02-03,46579,CVS,32.42,13400000.0,1.0,32.42,-0.3301067302011026,,1.7357683927307652,-0.2211931847744986
2010-02-04,46579,CVS,31.15,15800000.0,1.0,31.15,-1.167655096486249,,1.7601740277600235,-0.6546477404848611
2010-02-05,46579,CVS,31.07,25400000.0,1.0,31.07,-1.1735169149169424,,1.8134835503555304,-0.6487678630747029
2010-02-08,46579,CVS,32.72,36900000.0,1.0,32.72,-0.7083127730105477,,1.8128616996626916,-0.52877667154777
2010-02-09,46579,CVS,32.72,15500000.0,1.0,32.72,-0.4477530203109158,,1.8614235681958105,-0.347681066562138
2010-02-10,46579,CVS,32.73,8070780.0,1.0,32.73,-0.4548419119401097,,1.7442887330286878,-0.3459456909838223
2010-02-11,46579,CVS,33.21,10400000.0,1.0,33.21,-1.1189795914925436,,1.7563912246419042,-0.6484662904071393
2010-02-12,46579,CVS,32.99,10800000.0,1.0,32.99,-1.1345359768591312,,1.7206102797533676,-0.6498790428993225
2010-02-16,46579,CVS,33.52,7642359.0,1.0,33.52,-0.4220335344553969,,1.6640516448209988,-0.3264900116928224
2010-02-17,46579,CVS,33.99,9118356.0,1.0,33.99,-0.2705457902087935,,1.6960984501098526,-0.2101739018018219
2010-02-18,46579,CVS,34.12,8455312.0,1.0,34.12,-1.1101708652181148,,1.7401414063880978,-0.6389121414843077
2010-02-19,46579,CVS,34.31,7935604.0,1.0,34.31,-1.1099151187505647,,1.728181632935009,-0.6369357189538041
2010-02-22,46579,CVS,34.22,6978999.0,1.0,34.22,-0.7326825499538827,,1.7364383642763472,-0.5033671478784587
2010-02-23,46579,CVS,34.15,10200000.0,1.0,34.15,-0.4079023503577682,,1.801601508118429,-0.3244049750403054
2010-02-24,46579,CVS,34.51,7588476.0,1.0,34.51,-1.096000942341591,,1.783992114503622,-0.6449409011213312
2010-02-25,46579,CVS,34.0,13200000.0,1.0,34.0,-1.1118575154181305,,1.7444153632388504,-0.6491368461292129
2010-02-26,46579,CVS,33.75,12700000.0,1.0,33.75,-1.1200113171450632,,1.7581822951389616,-0.6476543554775412
2010-03-01,46579,CVS,34.41,12000000.0,1.0,34.41,-1.0624132576900025,,1.8818445986160104,-0.6036872245151077
2010-03-02,46579,CVS,34.66,9878124.0,1.0,34.66,-1.0924382385715787,,1.88401037441169,-0.6244407462735966
