Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,Beta_45,Future_Beta_45,SPY_Log_Return
2010-01-04,45158,C,3.4,407000000.0,1.0,3.4,-2.6354795082673745,,3.668700767614247,-0.4524903585476407
2010-01-05,45158,C,3.53,669000000.0,1.0,3.53,-2.4865530746119138,,3.610243011807405,-0.2531901065659378
2010-01-06,45158,C,3.64,674000000.0,1.0,3.64,-2.6697814156743105,,3.801256631194123,-0.573229249571893
2010-01-07,45158,C,3.65,672000000.0,1.0,3.65,-2.631198743002737,,3.677834691867002,-0.5595532335913158
2010-01-08,45158,C,3.59,624000000.0,1.0,3.59,-2.657001220316813,,3.327625708479283,-0.568615184583788
2010-01-11,45158,C,3.63,476000000.0,1.0,3.63,-2.7129966250375355,,3.9697317282922633,-0.473114796048648
2010-01-12,45158,C,3.52,470000000.0,1.0,3.52,-2.4872712760967137,,3.792373632097204,-0.2576971280432469
2010-01-13,45158,C,3.5,410000000.0,1.0,3.5,-2.666831302429096,,3.8806257216670272,-0.5698580439507263
2010-01-14,45158,C,3.51,275000000.0,1.0,3.51,-2.656806887971699,,3.973737709859461,-0.5643404112215136
2010-01-15,45158,C,3.42,540000000.0,1.0,3.42,-2.6631996349368583,,4.032450331015824,-0.5695725909792059
2010-01-19,45158,C,3.54,808000000.0,1.0,3.54,-2.4654147086871427,,4.085611555859764,-0.2539857899003737
2010-01-20,45158,C,3.46,479000000.0,1.0,3.46,-2.752518718161153,,4.046448566659503,-0.5898722730181601
2010-01-21,45158,C,3.27,960000000.0,1.0,3.27,-2.6708742868496,,4.027072481225136,-0.5927232314930553
2010-01-22,45158,C,3.25,655000000.0,1.0,3.25,-2.687114624569038,,3.956845383625686,-0.6203273558695568
2010-01-25,45158,C,3.23,498000000.0,1.0,3.23,-2.7260502780110816,,4.001354508301943,-0.4883838241038991
2010-01-26,45158,C,3.15,459000000.0,1.0,3.15,-2.6117024461658915,,3.994896463405064,-0.3181126911095728
2010-01-27,45158,C,3.2,559000000.0,1.0,3.2,-2.726422066784873,,4.223385571826765,-0.6262689795291642
2010-01-28,45158,C,3.24,514000000.0,1.0,3.24,-2.7020652487620773,,3.996241093383381,-0.624529243710493
2010-01-29,45158,C,3.32,680000000.0,1.0,3.32,-2.6525205097835527,,4.017887090015015,-0.6225500537921849
2010-02-01,45158,C,3.34,236000000.0,1.0,3.34,-2.760729759730233,,4.194760460220071,-0.6327689523729032
2010-02-02,45158,C,3.41,334000000.0,1.0,3.41,-2.707463518773854,,3.3441156474842484,-0.6430833300754399
2010-02-03,45158,C,3.37,272000000.0,1.0,3.37,-2.2912450729343714,,4.242073178045088,-0.2211931847744986
2010-02-04,45158,C,3.18,450000000.0,1.0,3.18,-2.7324871180712544,,4.111366096359191,-0.6546477404848611
