Feature,Count
Variance_45d_TWX,120
Variance_45d_SO,120
Log_Return_AAPL,120
HAR_Pred,120
Volume_SPG,120
RV_x_RQ,120
SPY_Return_BK,120
Log_Return_BKNG,120
Log_Return_EPD,120
Log_Return_EOG,120
Variance_45d_MA_BK,120
Log_Return_BLK,120
RQ_daily,120
Volume_EPD,120
Close,120
Volume_EOG,120
Volume_ABT,120
Log_Return_SHY,120
Volume,120
MA_5d_VIX,120
Log_Return_IEF,120
Volume_IJH,120
Volume_ILMN,120
Volume_BLK,120
MA_45d_VIX,120
Beta_45d_BK,120
Volume_EFA,120
MA_45d_BK,120
Log_Return_VIX,120
MA_5d_EFA,120
MA_5d_BK,120
MA_5d_IEF,120
Log_Return_VLO,119
Volume_ESRX,119
Log_Return_TWX,119
Beta_45d_VIX,119
MA_45d_EFA,119
MA_5d_SLB,119
Log_Return_SO,119
Log_Return_IJH,119
Log_Return_MDLZ,119
Volume_AET,119
Variance_45d_MA_VIX,119
MA_5d_VLO,119
Log_Return_MDT,119
Volume_MO,119
Volume_MET,119
Log_Return_EFA,119
Volume_MON,119
Volume_MDY,119
