Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BRCM,Predicted_Covariance,Future_Cov_45_BRCM,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5341799902154599,0.0002682264072333041,1.1974595675941908,6.486886017927193e-05,6.558333283099508e-05,1.179887220165124
2013-03-01,5.488021190183326e-05,0.5352497071582949,0.0002687699183440789,1.2056489833404895,6.500618176205634e-05,6.596904975125167e-05,1.1845104001846032
2013-03-04,5.501029900576039e-05,0.5432578048026111,0.0002715459370183648,1.232338414303232,6.639717956767793e-05,6.737472907675346e-05,1.2069954311778084
2013-03-05,5.845535101370509e-05,0.5455522926930348,0.00027125490399193915,1.2796443036170335,6.869692866520136e-05,6.858224725992369e-05,1.1752034240474425
2013-03-06,5.9250468430820016e-05,0.5456777131087355,0.00027193618708113294,1.2689680868781297,6.92652829179576e-05,6.847889155346155e-05,1.1690250685330992
2013-03-07,5.369174155549812e-05,0.5436844729729721,0.0002658260610551407,1.268152936216672,6.495303574849645e-05,6.854611620308898e-05,1.209739782446024
2013-03-08,4.524810700565277e-05,0.5557215799645641,0.00024323378151688222,1.2843358543912482,5.8300115489972695e-05,6.914195366388577e-05,1.2884542436811635
2013-03-11,4.8373919939468494e-05,0.5553019070841515,0.0002440974922184333,1.2672268381055312,6.034155038836773e-05,7.040249830004196e-05,1.2473984011193353
2013-03-12,5.1431479865635213e-05,0.5720409549368579,0.0002557047151285909,1.3077183180355068,6.560108184460483e-05,7.273805667829054e-05,1.275504457892087
2013-03-13,5.5261000285198275e-05,0.5737196639919299,0.00025787571180225935,1.298156579685155,6.848797510766062e-05,7.328599843907103e-05,1.239354603684313
2013-03-14,6.195858588029715e-05,0.584010977011482,0.00025892230910411353,1.3488313373410403,7.397014914874016e-05,7.77747092363991e-05,1.1938643869575902
2013-03-15,6.386120353979619e-05,0.5915996187061073,0.00026273575341215845,1.3285731445869349,7.663126998317992e-05,7.510084111127104e-05,1.1999659532790647
2013-03-18,6.402550064969363e-05,0.5982654428296452,0.00026442596306169554,1.3604641590792714,7.784351832392708e-05,7.53278883535799e-05,1.2158205329753962
2013-03-19,6.71640875084588e-05,0.6046405338686219,0.0002674133734324411,1.3902302320575748,8.103215311947647e-05,7.908292905050962e-05,1.2064803695765405
2013-03-20,6.839791392936718e-05,0.6062591872353067,0.00027320234361716576,1.363677447055344,8.287470039957962e-05,7.722336471510942e-05,1.211655380091888
2013-03-21,6.814178529168062e-05,0.611625364047168,0.00027850935916518606,1.335112448427395,8.425819244177061e-05,7.271747010114927e-05,1.2365128398251348
2013-03-22,6.79733209422515e-05,0.6075045556140293,0.00027046340480542044,1.326905756596911,8.23707535004797e-05,7.159951038526381e-05,1.2118100507471146
2013-03-25,7.243408887933498e-05,0.608685203808936,0.0002710724575811116,1.3012110702669375,8.529173369975574e-05,7.115026002322736e-05,1.1775082011708575
2013-03-26,7.339742545776695e-05,0.6037459002073222,0.00027187563002250913,1.309482765999986,8.528639319755539e-05,7.04675808230111e-05,1.1619807188826996
2013-03-27,7.311742529462491e-05,0.601540392580489,0.00027189139337091653,1.2531714948815185,8.481505931045129e-05,7.437982290135968e-05,1.1599842167402783
2013-03-28,6.422356192814954e-05,0.5979190697002567,0.0002715578443178484,1.2368371593534078,7.896247915870519e-05,7.385980490473044e-05,1.2294939238506406
2013-04-01,6.678777769649997e-05,0.5936244335821144,0.0002699156392375632,1.2154823876032017,7.970293038138594e-05,7.284127410640186e-05,1.1933759907924408
2013-04-02,6.451960799026473e-05,0.5925340860598213,0.0002698186875290882,1.21499006639107,7.817991813189383e-05,7.84976982577468e-05,1.2117233902551034
2013-04-03,6.836168011312682e-05,0.58990302099827,0.00027756953691206995,1.1261303971157026,8.125926402967073e-05,7.13512653809637e-05,1.188666865635845
2013-04-04,6.901245142532413e-05,0.5875237938000873,0.0002778765762516501,1.1183592190152916,8.136078991454798e-05,7.400343459255795e-05,1.178929138643706
2013-04-05,6.697476452894188e-05,0.579117055796198,0.0002786052324001769,1.115828429853521,7.910730468500631e-05,7.302392142454548e-05,1.1811509191767533
