Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BRK.B,Predicted_Covariance,Future_Cov_45_BRK.B,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8351947726229685,0.00010420379042236885,1.171829597802575,6.321605799339371e-05,6.417961208352218e-05,1.1498247191254982
2013-03-01,5.488021190183326e-05,0.8372991480268281,9.863344558409153e-05,1.1803262586138477,6.160282681867862e-05,6.458347558297212e-05,1.1224961545132226
2013-03-04,5.501029900576039e-05,0.8375894232101654,9.584358121559622e-05,1.1816743864322654,6.081835983227775e-05,6.460481205386054e-05,1.1055813353406636
2013-03-05,5.845535101370509e-05,0.8354509497623318,9.591171897065195e-05,1.1990872069222482,6.255599420861508e-05,6.426480786801851e-05,1.0701500054964785
2013-03-06,5.9250468430820016e-05,0.8367613128595697,9.519422284265549e-05,1.1977104642801393,6.284240294635045e-05,6.463352848980097e-05,1.0606228880658441
2013-03-07,5.369174155549812e-05,0.8401453887065242,9.548477420654742e-05,1.2033497704847405,6.015548827729946e-05,6.504337989918472e-05,1.1203862369619755
2013-03-08,4.524810700565277e-05,0.8490096480348276,6.944417373132994e-05,1.208033066575154,4.759164763062876e-05,6.503420894776073e-05,1.051793119758208
2013-03-11,4.8373919939468494e-05,0.849358065288567,7.774254110052249e-05,1.1923344739016857,5.208657750152526e-05,6.62417518693321e-05,1.0767491567088734
2013-03-12,5.1431479865635213e-05,0.8524399225696451,9.503373501508559e-05,1.1714433945091072,5.9596010832836916e-05,6.515815741819338e-05,1.1587457912650296
2013-03-13,5.5261000285198275e-05,0.852440890423647,0.00010695678153012313,1.1852065706392174,6.553567968688161e-05,6.690953021006808e-05,1.1859300292911168
2013-03-14,6.195858588029715e-05,0.8437854630046027,0.00012165915289139481,1.195348739825413,7.325802085392825e-05,6.892477814111721e-05,1.1823707693306849
2013-03-15,6.386120353979619e-05,0.8390160546077052,0.00012936643741272378,1.1811786741029011,7.626049675114069e-05,6.67690087589448e-05,1.194160030254013
2013-03-18,6.402550064969363e-05,0.8376035528102871,0.0001298658187002872,1.180759228548286,7.637697106074641e-05,6.53777600438513e-05,1.1929148587003182
2013-03-19,6.71640875084588e-05,0.8375624578626798,0.00013329839125836716,1.1757079790372074,7.92498075257161e-05,6.687987971079242e-05,1.1799431878790163
2013-03-20,6.839791392936718e-05,0.8349076025708594,0.00013524129192501801,1.185309276984156,8.029980660008669e-05,6.712259617873944e-05,1.1740095857749449
2013-03-21,6.814178529168062e-05,0.8335765214727455,0.00013141991487438428,1.2148062359417886,7.88828909332609e-05,6.616494082190465e-05,1.1576287676585375
2013-03-22,6.79733209422515e-05,0.8322043447687953,0.00012828743406735174,1.236030561898771,7.771257194994527e-05,6.669590708547887e-05,1.143280494062781
2013-03-25,7.243408887933498e-05,0.8341024623394716,0.00012571894189673165,1.1958500613013523,7.959600354376664e-05,6.53891169193088e-05,1.098874918912315
2013-03-26,7.339742545776695e-05,0.8330478414928876,0.00012769226303393667,1.1962599799247553,8.064782300806447e-05,6.437468977020683e-05,1.0987827230325595
2013-03-27,7.311742529462491e-05,0.8360709401161626,0.00012543163746677507,1.1344919677718184,8.006765691710664e-05,6.733580518751031e-05,1.0950557489473396
2013-03-28,6.422356192814954e-05,0.8330889543212722,0.0001244317753771235,1.117847777150644,7.44739209367841e-05,6.67541544245776e-05,1.1596043368024682
2013-04-01,6.678777769649997e-05,0.8311917098205385,0.00012247376321340288,1.11390804391732,7.517461813613827e-05,6.675413974224979e-05,1.1255744797760776
2013-04-02,6.451960799026473e-05,0.8331631497166727,0.00012528524114981978,1.1105276714756034,7.490759776499441e-05,7.174862451452464e-05,1.161005159490385
2013-04-03,6.836168011312682e-05,0.8316673914700241,0.00012462411766148276,1.1291268482238663,7.676390969705489e-05,7.154111957437448e-05,1.1229084710911703
2013-04-04,6.901245142532413e-05,0.8343695587599691,0.0001225264236630395,1.143368200648993,7.672502820943276e-05,7.565831480017651e-05,1.1117563080983166
2013-04-05,6.697476452894188e-05,0.8379316157262545,0.00012190540722370438,1.1344691523402208,7.571390737304129e-05,7.424383894747888e-05,1.1304841145103683
2013-04-08,7.273438811092278e-05,0.838155380269604,0.00012066899419381515,1.1426154605103571,7.852216734889032e-05,7.741295874396094e-05,1.0795741792608602
2013-04-09,7.022991067372413e-05,0.843323444998882,0.00011550188227833977,1.136246601024859,7.595384484569253e-05,7.895532848882243e-05,1.0815027972705362
2013-04-10,6.636144982931065e-05,0.8404169131551503,0.00010843012613339624,1.1476244323817084,7.128984955476952e-05,8.171135470476643e-05,1.0742660044067043
2013-04-11,6.716170407401359e-05,0.8377518216544896,0.00010484652283895798,1.150211756481205,7.029966415631489e-05,8.298990689883328e-05,1.0467224607470236
2013-04-12,6.98842565011876e-05,0.8378380007723357,0.00010908275156077417,1.1483682766331855,7.315226386303935e-05,8.390447127839943e-05,1.0467631413063143
2013-04-15,9.593981606210937e-05,0.8262011810159993,0.00012712671653664035,1.1531076619110876,9.1243863726988e-05,6.959729430689616e-05,0.9510531442745177
2013-04-16,8.836558039441448e-05,0.8263859680322845,0.00014025748411020054,1.0928599788805398,9.199993566366922e-05,6.704111247523903e-05,1.041128630095938
2013-04-17,8.959564094882932e-05,0.8274604157803632,0.0001457485700782861,1.033234001845637,9.455681140431819e-05,7.343001791573879e-05,1.0553728998749208
2013-04-18,9.719405369416862e-05,0.838366051912481,0.0001496993551461445,0.990175737018648,0.00010112615541653894,6.945752690595142e-05,1.0404561963712624
2013-04-19,7.72897485213767e-05,0.8426689162196186,0.00014418460603558015,0.9729687964513182,8.895643480608893e-05,7.060641956075603e-05,1.1509473961024141
