Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_CRM,Predicted_Covariance,Future_Cov_45_CRM,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5500111419094611,0.0003687745254166543,1.32730270671607,7.831587934710323e-05,7.269467591037763e-05,1.4244724652517855
2013-03-01,5.488021190183326e-05,0.48985914087019305,0.0003944068629720691,1.2727211861947434,7.206947161036359e-05,6.963901468147452e-05,1.3132141643198743
2013-03-04,5.501029900576039e-05,0.4915444293504265,0.0003947647478467572,1.238166439628103,7.243591712907153e-05,6.76933604062311e-05,1.3167701037488713
2013-03-05,5.845535101370509e-05,0.4947554209446608,0.00039432408421424554,1.2597527360063676,7.511546315968902e-05,6.751616318921286e-05,1.2850057669156396
2013-03-06,5.9250468430820016e-05,0.49178327258666127,0.0003929983546759316,1.2166517853564591,7.504383378099597e-05,6.565568238419548e-05,1.2665525820882928
2013-03-07,5.369174155549812e-05,0.5207654720336047,0.00037089990725107505,1.2382188338159943,7.348933029056023e-05,6.692812013732012e-05,1.3687268872550626
2013-03-08,4.524810700565277e-05,0.5059628107806965,0.0003611702875306861,1.2325556755466751,6.468071490211228e-05,6.635437850265513e-05,1.4294678646784456
2013-03-11,4.8373919939468494e-05,0.5096334111092193,0.0003546095372106888,1.281655329620263,6.674807401422413e-05,7.120409263090135e-05,1.37983595494737
2013-03-12,5.1431479865635213e-05,0.49393217628535924,0.000353272244490478,1.2333422087468355,6.657889570015753e-05,6.860110028765377e-05,1.294516429900422
2013-03-13,5.5261000285198275e-05,0.4785462396411831,0.0003565171596884309,1.142601080952274,6.716971379908662e-05,6.450428426396639e-05,1.2154994200689144
2013-03-14,6.195858588029715e-05,0.497988619672405,0.0003402834698321947,1.1831518005159103,7.23087065407919e-05,6.822149272498776e-05,1.167049013682962
2013-03-15,6.386120353979619e-05,0.5142960523425988,0.0003278919946239007,1.1686094935301756,7.442128201636279e-05,6.605850513561256e-05,1.165359841206029
2013-03-18,6.402550064969363e-05,0.5236746416309922,0.00032470678845710437,1.1504525739669544,7.550639225311915e-05,6.369970312670484e-05,1.1793174826736863
2013-03-19,6.71640875084588e-05,0.5282044683179374,0.0003221421078894174,1.139507824176866,7.769523385806768e-05,6.482064217414315e-05,1.1567972817062775
2013-03-20,6.839791392936718e-05,0.5348165420512413,0.0003205770471765844,1.1371490918463312,7.919403514973168e-05,6.439534454773538e-05,1.1578428434456844
2013-03-21,6.814178529168062e-05,0.5448371931078105,0.00030885195573334827,1.2380955485900362,7.904031795518777e-05,6.743340318862912e-05,1.159939053795788
2013-03-22,6.79733209422515e-05,0.5500883740376559,0.00029668552703771006,1.1325051702816922,7.811777971356827e-05,6.110970225113124e-05,1.1492417706049003
2013-03-25,7.243408887933498e-05,0.5423787758477348,0.0002887573686165859,1.0620886109032497,7.844056715998745e-05,5.80750368331653e-05,1.0829233634823296
2013-03-26,7.339742545776695e-05,0.5397288609865323,0.00027965004194459487,1.084054247223541,7.732563576871678e-05,5.8336529709436774e-05,1.0535197288794569
2013-03-27,7.311742529462491e-05,0.5323427973036181,0.00027396902201243413,1.0460788981393832,7.534467382278956e-05,6.208820061919246e-05,1.030461254881309
2013-03-28,6.422356192814954e-05,0.4989072995083009,0.00027999486485825824,0.9752963917293872,6.690245977419134e-05,5.8241459413362726e-05,1.0417120721058546
2013-04-01,6.678777769649997e-05,0.4667989678985046,0.00028863250398431406,1.1171953757134612,6.481134020527759e-05,6.695114254449832e-05,0.9704071978528198
2013-04-02,6.451960799026473e-05,0.4426166058667551,0.0002965592165640665,0.9942428835149136,6.122506803750966e-05,6.423573329853494e-05,0.9489373842250844
2013-04-03,6.836168011312682e-05,0.4350694396756791,0.0003064378257576243,0.8841745520061094,6.297035308772605e-05,5.602101964822552e-05,0.9211352468739936
2013-04-04,6.901245142532413e-05,0.43366938574533476,0.0003146337228622405,1.021674930913728,6.390357084216567e-05,6.760569648748669e-05,0.9259716112434203
2013-04-05,6.697476452894188e-05,0.4198818543737972,0.00033763245015839703,1.0336697543840232,6.314003153294555e-05,6.764715515715728e-05,0.9427436136137631
2013-04-08,7.273438811092278e-05,0.40963191791234943,0.00035460484873941556,1.0818095531953058,6.578638442515414e-05,7.32933180100026e-05,0.9044742952237027
2013-04-09,7.022991067372413e-05,0.4072305487188907,0.000366359622540579,1.054949939155967,6.532135860470715e-05,7.330619859297639e-05,0.9301073855579676
2013-04-10,6.636144982931065e-05,0.407173461910786,0.0003756552227742798,0.9830189776687284,6.428832535555907e-05,6.999137531353127e-05,0.9687601087817717
2013-04-11,6.716170407401359e-05,0.4022848553947007,0.0003836321658292579,0.9880691732954532,6.457316053349347e-05,7.12910194486756e-05,0.9614580425525314
2013-04-12,6.98842565011876e-05,0.3932623069613913,0.0004023409281031055,1.0385981794040229,6.594306116173472e-05,7.588422014677296e-05,0.9436039597933492
2013-04-15,9.593981606210937e-05,0.41862246343954995,0.0004148129183085231,1.0427471048225594,8.351185033286812e-05,6.293634110601855e-05,0.8704608134625185
2013-04-16,8.836558039441448e-05,0.4203259990840927,0.00043264657378498417,0.9350368941350924,8.218535879417982e-05,5.735951064144625e-05,0.930060759261133
2013-04-17,8.959564094882932e-05,0.43388183501569816,0.0004389889716783079,0.9085993617982524,8.604818486537594e-05,6.457246596211246e-05,0.9604059299550138
2013-04-18,9.719405369416862e-05,0.4520638964441881,0.0004420912631500406,0.8433227397827641,9.370777756083796e-05,5.915627872808499e-05,0.964130767255571
2013-04-19,7.72897485213767e-05,0.4306535747213627,0.00044057324484178436,0.960051530782512,7.946905771441389e-05,6.966903916097776e-05,1.028196613842448
2013-04-22,7.797978274745508e-05,0.42176529963896353,0.0004394457085137578,0.99779873007079,7.807544531288303e-05,7.398728515703508e-05,1.0012267611175292
2013-04-23,8.499754389235151e-05,0.42665896919957014,0.00043446523565020593,0.9865085174392916,8.199013164695333e-05,7.296050708807192e-05,0.9646176570795146
2013-04-24,7.773768893068322e-05,0.4313617075221753,0.00043047768874901113,1.0165430844432954,7.891012402287196e-05,7.587037121880388e-05,1.0150819391252315
2013-04-25,6.90805921567358e-05,0.4398586935620089,0.0004292206637045175,1.0387298984403397,7.574108404949273e-05,7.76746480196431e-05,1.0964162536077433
2013-04-26,7.034557142953508e-05,0.434910083429958,0.00044305955609540533,1.0168862384912862,7.678014215847948e-05,7.663499192070828e-05,1.0914708715585584
2013-04-29,6.776168711759701e-05,0.4552555596760253,0.00045607102686221173,1.007059552779957,8.003198803277789e-05,7.501568432077148e-05,1.1810802156369924
2013-04-30,5.8041023931509805e-05,0.4635440118172267,0.0004552643302014794,1.0065425140968631,7.535122554346504e-05,7.487330125809327e-05,1.298240803476896
2013-05-01,6.311211636341748e-05,0.47801115247416937,0.00046266975942911684,1.0708338907984762,8.168267622395653e-05,8.01537512513655e-05,1.2942471419212833
2013-05-02,6.214021471172626e-05,0.48491121538736043,0.0004660446136348951,1.044910467809266,8.252059489217646e-05,7.704900800110276e-05,1.327974086909685
2013-05-03,7.476459886581012e-05,0.4576903323764945,0.00047755791200734956,1.0478206582128873,8.648340201245195e-05,7.615492216661136e-05,1.15674267399836
