Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_EFA,Predicted_Covariance,Future_Cov_45_EFA,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8944201719891208,8.735077516186477e-05,1.029322150414167,6.198303703592246e-05,5.6374660997159676e-05,1.1273975381037333
2013-03-01,5.488021190183326e-05,0.8997195487201847,8.536744664078262e-05,1.0317463452072466,6.158304974330845e-05,5.645368338391994e-05,1.1221357864555055
2013-03-04,5.501029900576039e-05,0.9024685953343317,8.50281655894094e-05,1.0281643307561716,6.172136264614587e-05,5.621207001831996e-05,1.121996494505197
2013-03-05,5.845535101370509e-05,0.9028496429256049,8.556860076410386e-05,1.0341899286267,6.38535110182117e-05,5.542717550362808e-05,1.0923467212307216
2013-03-06,5.9250468430820016e-05,0.9070347447809994,8.042656720658527e-05,1.0459431854277264,6.261373108805098e-05,5.644352344762021e-05,1.056763477931957
2013-03-07,5.369174155549812e-05,0.9033531403770527,7.403759885239528e-05,1.0437111807688466,5.695573581820237e-05,5.641460571220976e-05,1.0607913650804275
2013-03-08,4.524810700565277e-05,0.9055570479156966,6.913055143434077e-05,1.0470294419808603,5.064668598500372e-05,5.6366612295876614e-05,1.1193106040585634
2013-03-11,4.8373919939468494e-05,0.8905644703721857,7.039594573799494e-05,1.015255317813539,5.196905615367139e-05,5.6403880218739444e-05,1.0743197205994797
2013-03-12,5.1431479865635213e-05,0.8911806006953198,7.620814734221306e-05,1.0096582249719557,5.5793157026901254e-05,5.615932435972686e-05,1.0848055932409668
2013-03-13,5.5261000285198275e-05,0.8904254310030673,7.981542274380889e-05,1.01474668578818,5.9135780776322057e-05,5.728640534931578e-05,1.0701178131254647
2013-03-14,6.195858588029715e-05,0.886119858780973,8.483952436097641e-05,0.9985080165137248,6.424544337599551e-05,5.7574782335393856e-05,1.036909452712761
2013-03-15,6.386120353979619e-05,0.8906819659091456,8.663582929421973e-05,1.0181820037502058,6.625062458841495e-05,5.755522396154856e-05,1.0374158474343464
2013-03-18,6.402550064969363e-05,0.8947838014279137,8.808373263128947e-05,1.0027378990270523,6.719585122602792e-05,5.5520851469496124e-05,1.0495169978237329
2013-03-19,6.71640875084588e-05,0.8953482553270758,8.980768622101618e-05,1.0109549984629405,6.953721689668191e-05,5.750794406073011e-05,1.035333307966467
2013-03-20,6.839791392936718e-05,0.8957429388217029,9.291957076791208e-05,1.0319804676739743,7.140989902054154e-05,5.84397756273975e-05,1.0440362127752136
