Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_MCD,Predicted_Covariance,Future_Cov_45_MCD,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.43160311940177143,6.894440117104271e-05,0.5063472782480426,2.6572472219240757e-05,2.7731994445647566e-05,0.4833215859355161
2013-03-01,5.488021190183326e-05,0.44068622316403233,6.842181163381127e-05,0.5050822548104963,2.7004407193785947e-05,2.7636399031954307e-05,0.492060913359627
2013-03-04,5.501029900576039e-05,0.44224306288589604,6.918381421334093e-05,0.519442788051139,2.728257029227299e-05,2.8399112378239324e-05,0.4959538629196708
2013-03-05,5.845535101370509e-05,0.44601239943557536,6.965690446587306e-05,0.4894332083150561,2.8460410130305048e-05,2.623106219048691e-05,0.4868743346290469
2013-03-06,5.9250468430820016e-05,0.4440932746013694,6.878698834897199e-05,0.5084044792498573,2.8351317008522582e-05,2.743565859524129e-05,0.4784994576308737
2013-03-07,5.369174155549812e-05,0.4403436082091369,6.935919211860989e-05,0.5108466657905647,2.687184310968902e-05,2.7612249213179738e-05,0.5004837304804709
2013-03-08,4.524810700565277e-05,0.29593850086268597,6.88121882161546e-05,0.4916652601991992,1.6513318642321783e-05,2.6468697048832305e-05,0.3649504860006365
2013-03-11,4.8373919939468494e-05,0.3269698908297153,6.979335077256903e-05,0.5035445570969188,1.8998548754037446e-05,2.797509787435446e-05,0.3927436266858425
2013-03-12,5.1431479865635213e-05,0.3860484718117543,7.024793217680869e-05,0.5111431802612587,2.3204548381826446e-05,2.8430863974144804e-05,0.4511740366493118
2013-03-13,5.5261000285198275e-05,0.4316646099762805,7.115063778705218e-05,0.5246903403231585,2.7067317304592252e-05,2.962081467186678e-05,0.48980867456071486
2013-03-14,6.195858588029715e-05,0.44926314161142566,7.201942867849827e-05,0.5275648066750322,3.0010717184935685e-05,3.0419814773426422e-05,0.48436736827589705
2013-03-15,6.386120353979619e-05,0.4567075602671221,7.307302073015266e-05,0.5476144856297149,3.1198612560182417e-05,3.095524596675025e-05,0.4885378106089165
2013-03-18,6.402550064969363e-05,0.512676952591873,7.471054747461865e-05,0.5244087703154208,3.5457755841157345e-05,2.9036123471780625e-05,0.5538067720104117
2013-03-19,6.71640875084588e-05,0.5367696864888606,7.512360736479486e-05,0.5235015100397533,3.812806435279356e-05,2.9779263766286503e-05,0.5676852878853096
2013-03-20,6.839791392936718e-05,0.5426705394186213,7.512203525060368e-05,0.5322927135453485,3.8899260585703685e-05,3.014307704660543e-05,0.5687199850257711
2013-03-21,6.814178529168062e-05,0.541854459312132,7.47146983465503e-05,0.5488575405749854,3.866272223847735e-05,2.9893760516998135e-05,0.56738639988638
2013-03-22,6.79733209422515e-05,0.5413847322406183,7.435714590027794e-05,0.551647935674076,3.8488997906833936e-05,2.9766787809108703e-05,0.5662368319407737
2013-03-25,7.243408887933498e-05,0.5463025872617301,7.534363537418637e-05,0.5926612221790115,4.03578520425729e-05,3.240673325586568e-05,0.5571665588256852
2013-03-26,7.339742545776695e-05,0.5495427797187445,7.558244839684328e-05,0.5750473266446804,4.093100399416908e-05,3.094519074212138e-05,0.557662666488498
2013-03-27,7.311742529462491e-05,0.5442643188807166,7.56424571102871e-05,0.5517779836800667,4.04765158821796e-05,3.274982624055993e-05,0.5535823467399249
2013-03-28,6.422356192814954e-05,0.5217283440524009,7.780190728114283e-05,0.5670921766321286,3.687964631828249e-05,3.386486023022181e-05,0.5742385693204277
2013-04-01,6.678777769649997e-05,0.5189774037225249,7.87856145278619e-05,0.5434445271534124,3.76461361862694e-05,3.256747458271536e-05,0.5636680465300503
2013-04-02,6.451960799026473e-05,0.5316706847771194,7.96777269269392e-05,0.5882939621196019,3.8120364342324656e-05,3.80083123333576e-05,0.5908337872740421
2013-04-03,6.836168011312682e-05,0.5657538322023848,8.110087735505163e-05,0.5727172871898386,4.2125652850590104e-05,3.6287185969946873e-05,0.616217342535751
2013-04-04,6.901245142532413e-05,0.5759620265095868,8.24823234373387e-05,0.6010432016158801,4.345482660792905e-05,3.977189126875169e-05,0.6296664690276934
