Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_MDY,Predicted_Covariance,Future_Cov_45_MDY,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.9277325148614047,0.00010087615708954205,1.1903755247457894,6.908995780042898e-05,6.519534884181604e-05,1.2566639528610384
2013-03-01,5.488021190183326e-05,0.9283647911218169,9.858529218674205e-05,1.195864879354978,6.828614799118493e-05,6.543369655018704e-05,1.24427631790729
2013-03-04,5.501029900576039e-05,0.9269641896919251,9.607230599673442e-05,1.2047729373927447,6.738823275071222e-05,6.586766209161394e-05,1.2250112064225587
2013-03-05,5.845535101370509e-05,0.9279384821897195,9.921485066231595e-05,1.1980043779958205,7.0667489562023e-05,6.420677389641982e-05,1.208913954608787
2013-03-06,5.9250468430820016e-05,0.9298833455783522,9.643913030003949e-05,1.20023077971276,7.029120786373231e-05,6.476953538309921e-05,1.186340120598427
2013-03-07,5.369174155549812e-05,0.9325786491537266,9.007556364015944e-05,1.2027594125150851,6.485488715575778e-05,6.50114699103862e-05,1.20791178078515
2013-03-08,4.524810700565277e-05,0.9386513859332195,7.296018440199237e-05,1.1980669901377998,5.3932120306513285e-05,6.449768729504321e-05,1.1919199249545542
2013-03-11,4.8373919939468494e-05,0.9403602812826891,7.496307048467653e-05,1.1999535460641944,5.662700617476745e-05,6.666503971239163e-05,1.1706102429909804
2013-03-12,5.1431479865635213e-05,0.9409391516632575,7.969782994738043e-05,1.2000419549728356,6.024198838894118e-05,6.674886979351066e-05,1.1713057556641076
2013-03-13,5.5261000285198275e-05,0.9423947561368909,8.416314202211095e-05,1.198475986548985,6.426924557943076e-05,6.765864045521769e-05,1.163012707836296
2013-03-14,6.195858588029715e-05,0.9420472532338736,9.064349155790605e-05,1.1942787586650294,7.059789453924167e-05,6.886308215931908e-05,1.1394368276195894
2013-03-15,6.386120353979619e-05,0.9402640413838956,9.193582287892177e-05,1.2027721329878014,7.204614718729139e-05,6.798963174937998e-05,1.1281677011050162
2013-03-18,6.402550064969363e-05,0.938945910187895,9.407769833636434e-05,1.2095801867816374,7.287195283442502e-05,6.697355505951296e-05,1.1381707615709793
2013-03-19,6.71640875084588e-05,0.9398544742358285,9.45363487901575e-05,1.23993043749563,7.489081987080773e-05,7.05331595838677e-05,1.115042616508053
2013-03-20,6.839791392936718e-05,0.9407658868910441,9.720120040336635e-05,1.228773421085,7.670767215441387e-05,6.95839168225451e-05,1.1214913986065127
2013-03-21,6.814178529168062e-05,0.9393698411540086,9.764804919260071e-05,1.240614871713796,7.662582306228931e-05,6.75706191992675e-05,1.1245056573480252
2013-03-22,6.79733209422515e-05,0.9377244463733905,9.566693220893518e-05,1.2559243998664282,7.56180382278374e-05,6.776937372098512e-05,1.1124664380026492
2013-03-25,7.243408887933498e-05,0.9365854812639071,9.560795518267546e-05,1.262097478451934,7.794099341653488e-05,6.90115276594542e-05,1.0760264210180601
2013-03-26,7.339742545776695e-05,0.9362163774163343,9.725830199020762e-05,1.2743309377438616,7.910063844950538e-05,6.857594516118292e-05,1.0777031749570027
2013-03-27,7.311742529462491e-05,0.9357804642650072,9.633046517368583e-05,1.2205971467855343,7.853554252632593e-05,7.244642890668095e-05,1.0741015867266774
2013-03-28,6.422356192814954e-05,0.9371068709521192,9.586671352775348e-05,1.2024416676565766,7.353096000286591e-05,7.180582044354376e-05,1.1449218603778013
2013-04-01,6.678777769649997e-05,0.9387283756824014,9.795562694895986e-05,1.1938773912401313,7.59282056375419e-05,7.154653262910787e-05,1.1368577942895222
2013-04-02,6.451960799026473e-05,0.9429090754250472,9.419735334463417e-05,1.1932430441682207,7.350807099984109e-05,7.709267344670098e-05,1.1393136643194208
2013-04-03,6.836168011312682e-05,0.9441216015163185,0.00010129727894220598,1.1865047813925356,7.856573685167464e-05,7.517656725167239e-05,1.149265739543877
2013-04-04,6.901245142532413e-05,0.9432281115354035,9.949396150314871e-05,1.1629490285617272,7.815896949249328e-05,7.695400628558671e-05,1.1325343163192263
2013-04-05,6.697476452894188e-05,0.9413615544010805,9.827256049436973e-05,1.1722682252128969,7.637094968073972e-05,7.671754946920957e-05,1.1402944111544797
2013-04-08,7.273438811092278e-05,0.9371373807899274,9.966732380727805e-05,1.1741478589856904,7.979020021260003e-05,7.954929974986568e-05,1.0970079254797176
2013-04-09,7.022991067372413e-05,0.9373692827373072,9.864066740639583e-05,1.1723513834493826,7.801889172622527e-05,8.146417203895884e-05,1.110906891063658
2013-04-10,6.636144982931065e-05,0.937366810073416,0.00010281669059284136,1.17667816548991,7.742822714238099e-05,8.377999303671176e-05,1.166765152683303
2013-04-11,6.716170407401359e-05,0.9374529536411019,0.000103234714766383,1.1684737956133442,7.805904186813599e-05,8.430754681932538e-05,1.1622552307802272
2013-04-12,6.98842565011876e-05,0.9385587091565422,0.00010418516589489788,1.161582851075826,8.008553152608454e-05,8.486998199855747e-05,1.1459738650109783
2013-04-15,9.593981606210937e-05,0.9413012269544455,0.00013927093771907477,1.120738744240136,0.00010880737059180752,6.764362669722355e-05,1.1341211090228478
2013-04-16,8.836558039441448e-05,0.940834314806091,0.0001420496016537639,1.132678417752371,0.00010540827984927504,6.94837606557766e-05,1.1928658124440703
2013-04-17,8.959564094882932e-05,0.9398902857892748,0.00014666192158717856,1.1280308724776795,0.00010774057444551906,8.016705511779833e-05,1.20252027112628
2013-04-18,9.719405369416862e-05,0.9397106292810081,0.00014610086120591442,1.1306617481354604,0.0001119799772981569,7.931215223381078e-05,1.1521278621685414
2013-04-19,7.72897485213767e-05,0.9413426367248939,0.00014724070605159036,1.0999863810984862,0.00010042055623703765,7.982383424651106e-05,1.2992739419932704
2013-04-22,7.797978274745508e-05,0.9396175413351319,0.00014119595138654349,1.1091610611578004,9.85946269992036e-05,8.22448588515837e-05,1.2643613963187312
2013-04-23,8.499754389235151e-05,0.9361825319521384,0.00014058442411650748,1.0995052055124308,0.00010233691593573487,8.131755167040221e-05,1.2039985068903107
2013-04-24,7.773768893068322e-05,0.9344811683976769,0.0001269452857367382,1.1125600110219214,9.283134766907011e-05,8.303665858457576e-05,1.1941614028665752
2013-04-25,6.90805921567358e-05,0.9296763984571631,0.00011576008477387568,1.114834703117861,8.313602385033037e-05,8.336565000659464e-05,1.203464261882765
2013-04-26,7.034557142953508e-05,0.9278035398679007,0.00010981788153189371,1.126839935398812,8.154755359906122e-05,8.492136689089354e-05,1.1592421803090636
2013-04-29,6.776168711759701e-05,0.9303537513109393,0.00010338073225247589,1.1276783975650877,7.786817931677503e-05,8.400056029812529e-05,1.1491475881000235
2013-04-30,5.8041023931509805e-05,0.9275636964049552,8.760919173524153e-05,1.1239029331462014,6.614333858413978e-05,8.360334682317442e-05,1.139596342445491
2013-05-01,6.311211636341748e-05,0.9275294539801617,9.855267367212693e-05,1.1049439396944682,7.315066642053318e-05,8.270694684768949e-05,1.1590589990567086
2013-05-02,6.214021471172626e-05,0.9256464907415257,9.545268323871252e-05,1.0969626814156697,7.128950585005092e-05,8.088720423531526e-05,1.1472362331023316
2013-05-03,7.476459886581012e-05,0.9308159642873234,0.00010045719313233841,1.1003084377009549,8.066819634090846e-05,7.996969975310154e-05,1.0789624710712928
2013-05-06,7.535412832838797e-05,0.9343162876511177,0.00010225908986089594,1.0984042170842756,8.201596639809152e-05,7.972548141020024e-05,1.0884070749338608
2013-05-07,7.392273390092128e-05,0.9374842709356003,0.0001035651010335119,1.0874471464714348,8.202754552604256e-05,8.258066525820334e-05,1.1096389594571023
2013-05-08,6.958015556766957e-05,0.9383812017356528,0.00010101354384845918,1.0854254979755065,7.867048012528406e-05,8.204597537934801e-05,1.1306453612161556
2013-05-09,7.111722928104653e-05,0.9402822396059386,0.00010962295123361969,1.0848428716364469,8.302261188004702e-05,8.196266323843009e-05,1.1674050398104217
2013-05-10,7.562958883543677e-05,0.9396501534203979,0.00011210288721057155,1.0872641724886538,8.652078630430254e-05,8.245191687275293e-05,1.1440070961190076
2013-05-13,7.357910230951406e-05,0.9391031114736306,0.0001128072617267826,1.0886327639733575,8.555769004492675e-05,8.26497430581891e-05,1.1627987751878812
2013-05-14,7.590263764609063e-05,0.9387226769105014,0.00011780273426070892,1.0917819121654444,8.876534160248959e-05,8.113511789773777e-05,1.1694632012180337
2013-05-15,7.650099964197039e-05,0.9380142716890517,0.00011843661729248255,1.0946848400459277,8.928654102021374e-05,8.079819367552541e-05,1.1671290759347004
2013-05-16,7.639729836462006e-05,0.937819638447402,0.000122608439920556,1.0947389152191127,9.076501976179946e-05,8.01948053628788e-05,1.188065830922539
2013-05-17,7.425705624970095e-05,0.9365410495430745,0.00012034207371438428,1.0927460407389056,8.853284642299406e-05,7.810388812382613e-05,1.1922482642631098
2013-05-20,7.217439206379002e-05,0.9363495301177317,0.00011540782309899428,1.0974209772257788,8.54569106651614e-05,7.881949425172164e-05,1.184033674847332
2013-05-21,7.13709588975209e-05,0.9366841732060419,0.00011122385932168112,1.098488079563492,8.345510891627135e-05,7.898102765686552e-05,1.1693146653122828
