Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_SHY,Predicted_Covariance,Future_Cov_45_SHY,Beta_Predicted
2013-02-28,5.497886498863307e-05,-0.24737980444197782,2.7347195037636317e-08,-0.0063075982689883,-3.0333220405704455e-07,-3.454591101311746e-07,-0.005517251113127904
2013-03-01,5.488021190183326e-05,-0.24857231229332497,2.7451605862141315e-08,-0.0063127920214678,-3.0510162412258913e-07,-3.4541470750428683e-07,-0.005559410460519692
2013-03-04,5.501029900576039e-05,-0.25149613808051646,2.6739978375289597e-08,-0.0061233571517607,-3.050238856195807e-07,-3.3477778859406916e-07,-0.005544850530400502
2013-03-05,5.845535101370509e-05,-0.2528957496382104,2.557394647665605e-08,-0.0056880294098128,-3.09209296466054e-07,-3.048486507561192e-07,-0.005289666234209399
2013-03-06,5.9250468430820016e-05,-0.2579308907115003,2.619950457669367e-08,-0.0054224743695616,-3.2136293971299584e-07,-2.926196790480947e-07,-0.005423804203138319
2013-03-07,5.369174155549812e-05,-0.25889967244267137,2.702283845987861e-08,-0.0054638631881275,-3.118535764259182e-07,-2.953323611964515e-07,-0.005808222407976333
2013-03-08,4.524810700565277e-05,-0.2555668021104543,2.639273064011712e-08,-0.0055908194560032,-2.7928448415597853e-07,-3.009806028916471e-07,-0.006172291011446909
2013-03-11,4.8373919939468494e-05,-0.2583726510448638,2.7059258227147337e-08,-0.0053096561173691,-2.9560387692979104e-07,-2.949851159525994e-07,-0.006110810893549409
2013-03-12,5.1431479865635213e-05,-0.26208106850299495,2.796106392011665e-08,-0.0047821963577767,-3.142874267793017e-07,-2.659958684689444e-07,-0.006110798825940413
2013-03-13,5.5261000285198275e-05,-0.267433841461248,2.8969039883549486e-08,-0.0052558304729096,-3.3837072696164976e-07,-2.967121145948438e-07,-0.0061231379311873
2013-03-14,6.195858588029715e-05,-0.2631519433656177,2.9089883118455867e-08,-0.0059408782893131,-3.5328753802268055e-07,-3.4255586207754586e-07,-0.0057019948567778094
2013-03-15,6.386120353979619e-05,-0.2654039431966033,2.9570969260559213e-08,-0.0051185320584406,-3.6471926206045e-07,-2.893375230487113e-07,-0.005711124154325858
2013-03-18,6.402550064969363e-05,-0.25811843826870245,3.0949513800831584e-08,-0.0045389877253879,-3.6334771701608003e-07,-2.513203735169413e-07,-0.005675046869279244
2013-03-19,6.71640875084588e-05,-0.25180494381166457,3.126267508128658e-08,-0.0033227290893827,-3.6487648913496993e-07,-1.8901268492826303e-07,-0.005432612913694637
2013-03-20,6.839791392936718e-05,-0.2555337621431896,3.1626808600104666e-08,-0.0034957795218054,-3.758351562708643e-07,-1.9796166429155147e-07,-0.0054948336093843435
2013-03-21,6.814178529168062e-05,-0.23240264050799983,3.060696320141791e-08,-0.0029082274978112,-3.356278050059702e-07,-1.5839785358040218e-07,-0.0049254331034814655
2013-03-22,6.79733209422515e-05,-0.22613181112615888,3.072359650355245e-08,-0.0036374999576343,-3.267886255839934e-07,-1.9627860885987295e-07,-0.004807601292007273
2013-03-25,7.243408887933498e-05,-0.22124506753263012,2.9799634850526364e-08,-0.0036048798326593,-3.2505029860313244e-07,-1.9711493646725774e-07,-0.0044875320947933865
2013-03-26,7.339742545776695e-05,-0.2154286360090013,2.9432154558657078e-08,-0.0037879732492331,-3.1663204999065e-07,-2.038433173970397e-07,-0.004313939460626461
2013-03-27,7.311742529462491e-05,-0.2167619598090325,2.8941114977456206e-08,-0.0027127787012465,-3.1531972801252864e-07,-1.6101227979841576e-07,-0.0043125113711533925
2013-03-28,6.422356192814954e-05,-0.1946587100157478,3.006878466648729e-08,-0.0025658761372026,-2.7050728948417226e-07,-1.5322559600532671e-07,-0.004211963356794251
2013-04-01,6.678777769649997e-05,-0.18270115811083662,3.109539276067091e-08,-0.0027885813097631,-2.6329209494784866e-07,-1.6711374646319706e-07,-0.003942219729848064
2013-04-02,6.451960799026473e-05,-0.17822225396219407,2.7899150935843603e-08,-0.0033229266850493,-2.3911305328716634e-07,-2.146866081221137e-07,-0.003706052481336306
2013-04-03,6.836168011312682e-05,-0.17029951458635298,2.6449491920468353e-08,-0.0040949911374575,-2.289962871373554e-07,-2.5945734182267414e-07,-0.003349775587118484
2013-04-04,6.901245142532413e-05,-0.17538796917583097,2.8525451027455998e-08,-0.0046813135852807,-2.460819653274581e-07,-3.097692385640791e-07,-0.003565761833482099
2013-04-05,6.697476452894188e-05,-0.18451320158064838,2.7799858709467258e-08,-0.0045266608586636,-2.517702067866508e-07,-2.962413557628418e-07,-0.0037591801711800432
2013-04-08,7.273438811092278e-05,-0.2063515943623378,3.019692083284041e-08,-0.003657711541868,-3.058151903761722e-07,-2.478123939977262e-07,-0.004204547509354064
2013-04-09,7.022991067372413e-05,-0.21524201429898418,2.8859826656232604e-08,-0.0033387702407166,-3.064325990833416e-07,-2.3200395131362554e-07,-0.004363277642584138
2013-04-10,6.636144982931065e-05,-0.2283028341904413,2.879762454400967e-08,-0.0010572007976499,-3.1560768405334515e-07,-7.5273152900405e-08,-0.0047558889214314145
2013-04-11,6.716170407401359e-05,-0.24439279266944958,3.0445505242918254e-08,-0.0026537646588285,-3.494707566412744e-07,-1.9147403139167303e-07,-0.005203423014046076
2013-04-12,6.98842565011876e-05,-0.2042638115808435,3.165526972491738e-08,-0.0024767486771834,-3.0381143452391426e-07,-1.8096136272396604e-07,-0.004347351602985879
2013-04-15,9.593981606210937e-05,-0.18906360607404227,3.2868790889593766e-08,-0.0017628518398793,-3.357370282942567e-07,-1.0639918749322766e-07,-0.0034994545755320998
2013-04-16,8.836558039441448e-05,-0.18644204401866635,3.352527154465512e-08,0.0045893434059032,-3.2090137267994116e-07,2.815316631667505e-07,-0.003631520001878753
2013-04-17,8.959564094882932e-05,-0.17714443284462847,3.063138216465068e-08,0.0048049762805489,-2.9346360307821553e-07,3.414807233744907e-07,-0.003275422776938681
2013-04-18,9.719405369416862e-05,-0.17529801156586908,2.8356130076551848e-08,0.0057246474652711,-2.910183122150409e-07,4.015649348703669e-07,-0.002994198730827308
2013-04-19,7.72897485213767e-05,-0.0907272893807226,3.602090289841862e-08,0.0068034740019984,-1.5138267678712097e-07,4.937146408063517e-07,-0.0019586384958317177
2013-04-22,7.797978274745508e-05,-0.03686105090488893,4.2720841839770276e-08,0.0061171018965277,-6.727886004349232e-08,4.5358622807718006e-07,-0.0008627731146851395
2013-04-23,8.499754389235151e-05,-0.009718247099141876,4.849185498411706e-08,0.0080420373529043,-1.9729929092829966e-08,5.947755269382913e-07,-0.00023212352015509663
2013-04-24,7.773768893068322e-05,0.0028881679348065964,5.151345999362761e-08,0.009039693204182,5.779611082916811e-09,6.746835324554279e-07,7.434760619228529e-05
2013-04-25,6.90805921567358e-05,-0.014406193929046745,5.4565171792743374e-08,0.0091855634802709,-2.7969522108178344e-08,6.868825199538167e-07,-0.0004048824892050543
2013-04-26,7.034557142953508e-05,0.034997402937286745,5.958693782099725e-08,0.0097794779473335,7.165223348610993e-08,7.370049717601797e-07,0.0010185749014475448
2013-04-29,6.776168711759701e-05,0.06579569272285,6.710815203430623e-08,0.0092656361774605,1.4030631187323168e-07,6.901955664893226e-07,0.002070584689394423
2013-04-30,5.8041023931509805e-05,0.05279820372787918,7.00252484442073e-08,0.009315999419913,1.06442240969633e-07,6.929857619707003e-07,0.001833913907088168
2013-05-01,6.311211636341748e-05,0.03998103696955387,6.995309667016135e-08,0.0063183662137034,8.400669484281705e-08,4.7294053555826484e-07,0.001331070794062469
2013-05-02,6.214021471172626e-05,0.045365939265725755,7.371453230914294e-08,0.0077583281374158,9.709409967710331e-08,5.720791447214957e-07,0.001562500228355037
2013-05-03,7.476459886581012e-05,0.0022936994091760084,8.939608116497514e-08,0.0086306758805375,5.929850537398469e-09,6.272718950287918e-07,7.931361402796467e-05
2013-05-06,7.535412832838797e-05,-0.028912685766290466,9.634763058929066e-08,0.0086044679328072,-7.790448855990789e-08,6.245381595880921e-07,-0.001033844996791757
2013-05-07,7.392273390092128e-05,-0.04829453426149401,1.0052634572974741e-07,0.0115614353415306,-1.3165184206081056e-07,8.779746445068077e-07,-0.0017809384896027205
2013-05-08,6.958015556766957e-05,-0.053355175114848434,1.0252259845749419e-07,0.0114531104536856,-1.4250465458431536e-07,8.657265008539154e-07,-0.0020480646158619713
2013-05-09,7.111722928104653e-05,-0.06258427482938242,1.04135797611069e-07,0.0118861244148793,-1.7031490725841396e-07,8.980272056884839e-07,-0.0023948473384044593
