Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_TGT,Predicted_Covariance,Future_Cov_45_TGT,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.4104392535929035,0.00010316292377379311,0.5418519433079886,3.091068255922578e-05,2.9676539655100973e-05,0.5622284593473618
2013-03-01,5.488021190183326e-05,0.41199820851108954,0.00010627365617376047,0.5251578270182117,3.146415178062093e-05,2.8734866695474598e-05,0.573324167131539
2013-03-04,5.501029900576039e-05,0.42236491561343875,0.00011891346629003166,0.4790816055959794,3.4160589602193686e-05,2.619247522275371e-05,0.6209853467369186
2013-03-05,5.845535101370509e-05,0.4310648078004739,0.00011893184724439372,0.4646470320322733,3.5942128039649984e-05,2.4902652674147946e-05,0.6148646345690955
2013-03-06,5.9250468430820016e-05,0.45883661794087605,0.00012024032860546565,0.4716314626430108,3.8728354171045396e-05,2.5451230899735622e-05,0.6536379407069846
2013-03-07,5.369174155549812e-05,0.48395485259241033,0.00011652756770868111,0.4743843293538955,3.828008867414305e-05,2.564138948558222e-05,0.7129604584454592
2013-03-08,4.524810700565277e-05,0.397619319951368,0.00011416872062572644,0.4687159286166764,2.8578619933505365e-05,2.5233224555036702e-05,0.6315981335956239
2013-03-11,4.8373919939468494e-05,0.3828357767018626,0.00010878334370432081,0.4362647647345949,2.7771501383371943e-05,2.4237278152593543e-05,0.5741007017443103
2013-03-12,5.1431479865635213e-05,0.384456909699548,0.00010709078278501586,0.4501325543489132,2.8532394991984142e-05,2.5037324016505722e-05,0.5547651956841423
2013-03-13,5.5261000285198275e-05,0.38461700861956927,0.00010432821078107636,0.4592282301999455,2.9203757693194212e-05,2.592522341932965e-05,0.5284695814855974
2013-03-14,6.195858588029715e-05,0.38193890686744136,0.00010017799469570863,0.4989721087447383,3.009059783330869e-05,2.8771136613118807e-05,0.48565662701603896
2013-03-15,6.386120353979619e-05,0.38231603593462105,9.94435448336503e-05,0.4863433831018948,3.0466976851871256e-05,2.7491747284421604e-05,0.4770811566820103
2013-03-18,6.402550064969363e-05,0.3843535662557485,9.889741232044818e-05,0.4903061892284606,3.058439336504192e-05,2.71478889280453e-05,0.4776908115467937
2013-03-19,6.71640875084588e-05,0.38760864789536253,9.855012969215882e-05,0.6207430251128733,3.1534838956339356e-05,3.531082512926321e-05,0.4695193536630389
2013-03-20,6.839791392936718e-05,0.4083293909557487,0.00010510840902968551,0.5506356136346204,3.462189224238874e-05,3.1181812758327916e-05,0.5061834528775528
2013-03-21,6.814178529168062e-05,0.41568671548256936,0.00010595597126328165,0.5282366641005527,3.5321213664022926e-05,2.8770635666911538e-05,0.5183488150894583
2013-03-22,6.79733209422515e-05,0.45288373922154734,0.00010608537801463301,0.5130093771313315,3.8457737967884495e-05,2.768186063180278e-05,0.5657769465252002
2013-03-25,7.243408887933498e-05,0.4993889712448686,0.00010537384122749489,0.5105274772616663,4.362916021802872e-05,2.791565764093763e-05,0.6023291090291586
2013-03-26,7.339742545776695e-05,0.5271549208756849,0.00010491836090926748,0.5168662177280577,4.625987200356937e-05,2.781427363392758e-05,0.6302655946724918
2013-03-27,7.311742529462491e-05,0.5480025635375618,0.00010364454939813204,0.5005042365763697,4.770526020387382e-05,2.9706561815348556e-05,0.65244721093018
2013-03-28,6.422356192814954e-05,0.4898384478155372,0.00010482725398010098,0.5414086212686965,4.019177339591078e-05,3.233112365539701e-05,0.6258104064809663
2013-04-01,6.678777769649997e-05,0.465186528965593,0.00010494851503847961,0.5312394452505963,3.8946082118289276e-05,3.183604998500729e-05,0.5831318762434321
2013-04-02,6.451960799026473e-05,0.4432226919642101,0.00010522778307507096,0.5929446028099077,3.652019245994684e-05,3.830877947272887e-05,0.5660324604801895
2013-04-03,6.836168011312682e-05,0.44158569215771015,0.00010708325840468852,0.555233448760966,3.778175662096358e-05,3.5179415503212874e-05,0.5526744889599154
2013-04-04,6.901245142532413e-05,0.43552149322860956,0.00010800935158105565,0.5236117021165815,3.76013986186598e-05,3.464813781711452e-05,0.5448494850142644
2013-04-05,6.697476452894188e-05,0.42219152252681297,0.00010827164323203415,0.533605627175305,3.595195159075177e-05,3.492111721482128e-05,0.5367984769131336
2013-04-08,7.273438811092278e-05,0.4152996312103221,0.0001069598012660875,0.4992572520766513,3.663040613904824e-05,3.3825011470062065e-05,0.5036188120973183
2013-04-09,7.022991067372413e-05,0.4116736476301304,0.00010841841937887991,0.5161746637600497,3.592242620098678e-05,3.586786538945212e-05,0.5114975351154308
