Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_VZ,Predicted_Covariance,Future_Cov_45_VZ,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.2909257109267462,9.707482409016267e-05,0.4347958508528383,2.125363878529926e-05,2.3813214050564956e-05,0.3865783476922172
2013-03-01,5.488021190183326e-05,0.2967808596380694,9.70900046091373e-05,0.426907767154192,2.166362049633319e-05,2.3358954488196355e-05,0.39474374725600364
2013-03-04,5.501029900576039e-05,0.2994373619723448,9.66044732069075e-05,0.439305683445512,2.18286365110323e-05,2.401783557218274e-05,0.39680999568365405
2013-03-05,5.845535101370509e-05,0.3081861890847045,9.601196295916273e-05,0.4182041816231578,2.3088088759925645e-05,2.2413558602295124e-05,0.3949696368175524
2013-03-06,5.9250468430820016e-05,0.31754930281597477,9.38446954037432e-05,0.4329208812563386,2.3678921741932193e-05,2.33622440038786e-05,0.3996410892443721
2013-03-07,5.369174155549812e-05,0.3232650155939783,9.67373048397665e-05,0.4326296545321486,2.3297506640457676e-05,2.3384468643769467e-05,0.433912292011917
2013-03-08,4.524810700565277e-05,0.32289166799529667,9.556975684760686e-05,0.4254264158575974,2.123328976176536e-05,2.2902742637019302e-05,0.46926360386994137
2013-03-11,4.8373919939468494e-05,0.33448642176731463,9.658767880106759e-05,0.4532938073329114,2.28636202390872e-05,2.5183349610779965e-05,0.4726435291515971
2013-03-12,5.1431479865635213e-05,0.3495956234639376,9.975883824039248e-05,0.4755068825213215,2.5041260659059925e-05,2.6448697777447552e-05,0.4868858668753114
2013-03-13,5.5261000285198275e-05,0.3697410772710537,0.00010231804687091387,0.4926599136339297,2.780245803284784e-05,2.7812572247891445e-05,0.5031117404564022
2013-03-14,6.195858588029715e-05,0.3857261376585158,8.600334520838354e-05,0.4704007033364795,2.8157071855265114e-05,2.7123686196906636e-05,0.4544498789831011
2013-03-15,6.386120353979619e-05,0.3921836242893247,9.338980916368969e-05,0.4543692406777371,3.0287104022654185e-05,2.5684330809348783e-05,0.4742645353337299
2013-03-18,6.402550064969363e-05,0.37676601534735144,9.827346084874148e-05,0.5039114157601864,2.9885900004561928e-05,2.7901200199325443e-05,0.46678119969851317
2013-03-19,6.71640875084588e-05,0.3927483744174128,0.00010073511021008759,0.5416000316871893,3.2305270997272586e-05,3.0808794034266046e-05,0.4809902463605121
2013-03-20,6.839791392936718e-05,0.38021867336787746,9.883804501353116e-05,0.5507621540178181,3.1262013312059435e-05,3.118897858348981e-05,0.4570609177400196
2013-03-21,6.814178529168062e-05,0.37735016590166065,9.543659145718347e-05,0.5948896066001867,3.0430476938927796e-05,3.240091666614848e-05,0.446575868370197
2013-03-22,6.79733209422515e-05,0.37410992606970495,9.383648521438385e-05,0.5679097113729609,2.987819392166679e-05,3.064426925211751e-05,0.4395576603804688
2013-03-25,7.243408887933498e-05,0.3743814339808701,9.433492563722451e-05,0.6500622985363519,3.094724976444893e-05,3.5545425818326196e-05,0.4272470357983339
2013-03-26,7.339742545776695e-05,0.3701374453249281,9.780506923149184e-05,0.6327939526250159,3.136058235935127e-05,3.40527268924106e-05,0.4272708771971331
2013-03-27,7.311742529462491e-05,0.37172861301117405,0.0001066004708979614,0.6414731229840536,3.2818293741890535e-05,3.8073525832988256e-05,0.4488436731688788
2013-03-28,6.422356192814954e-05,0.39971460001848874,0.00011317209792860462,0.6407862093451795,3.407743430447961e-05,3.8265622964157196e-05,0.5306064204692341
2013-04-01,6.678777769649997e-05,0.41956638714108896,0.0001167961273412323,0.6329500999227398,3.705641539360161e-05,3.793135317662688e-05,0.5548382753801907
2013-04-02,6.451960799026473e-05,0.47408256836684776,0.00012124688484859627,0.6349002587127326,4.1930992440821235e-05,4.101943736892743e-05,0.6498953379745913
2013-04-03,6.836168011312682e-05,0.5184047371900306,0.00013185957055553355,0.7063574455975167,4.92188150558724e-05,4.4754584090557874e-05,0.7199766736923922
2013-04-04,6.901245142532413e-05,0.5532356639661764,0.00012703829816550072,0.6900553065247573,5.180136808233711e-05,4.566195000083792e-05,0.7506090134820017
2013-04-05,6.697476452894188e-05,0.5110992359553135,0.00013280061455800502,0.7050863281154097,4.8201535339304124e-05,4.614344575230083e-05,0.719696973603763
2013-04-08,7.273438811092278e-05,0.4794382719956354,0.00013583572780031034,0.7151040284297454,4.765512370204798e-05,4.844877438096793e-05,0.6551938490136475
2013-04-09,7.022991067372413e-05,0.46615319069359323,0.00012123298235475438,0.7162545565624474,4.3013037601501804e-05,4.977098610811734e-05,0.6124603774783773
2013-04-10,6.636144982931065e-05,0.44305059458590157,0.00012650260317448807,0.7294302189733664,4.059391965727754e-05,5.1935746288716e-05,0.6117093547788635
2013-04-11,6.716170407401359e-05,0.4253864392087848,0.00013294045923044025,0.691443338412195,4.0195097066423994e-05,4.988891650368394e-05,0.5984823884475619
2013-04-12,6.98842565011876e-05,0.4377695421377697,0.00014297478232854312,0.6736830908493336,4.3758753141352916e-05,4.922203503621042e-05,0.6261603876491022
2013-04-15,9.593981606210937e-05,0.4331943674023975,0.0001437210490172958,0.8150298362232749,5.0867738623218604e-05,4.9192172816302426e-05,0.5302046711272401
2013-04-16,8.836558039441448e-05,0.43873992906752646,0.00014409748643268158,0.9853696809789312,4.9508176489784986e-05,6.044715781418514e-05,0.5602653914432316
2013-04-17,8.959564094882932e-05,0.42966215219793014,0.0001638266844761681,0.9407126376573136,5.205504915318318e-05,6.68546967224743e-05,0.5809997964400225
2013-04-18,9.719405369416862e-05,0.4355744569879805,0.00018393428958483795,1.004840311652213,5.8238958712395726e-05,7.048619792776623e-05,0.5992028987251707
2013-04-19,7.72897485213767e-05,0.4785172944262826,0.00019577101474276958,0.9314636261849152,5.8861697383129886e-05,6.7594471514263e-05,0.7615718579657429
2013-04-22,7.797978274745508e-05,0.4958194346984816,0.00018830090120612096,0.9904660389017468,6.008149845390893e-05,7.344356236390812e-05,0.7704753249760719
2013-04-23,8.499754389235151e-05,0.5041232042879089,0.0001815176469784253,0.9980427262334336,6.261801593981899e-05,7.381355772838936e-05,0.736703827808531
2013-04-24,7.773768893068322e-05,0.5008049103486892,0.00018095002777028068,1.0017074808639777,5.9396891651603916e-05,7.476310604918795e-05,0.7640681433759455
2013-04-25,6.90805921567358e-05,0.48429172385881425,0.0001862985687528757,0.98516403986724,5.494014893866257e-05,7.366907427349126e-05,0.7953051243974543
2013-04-26,7.034557142953508e-05,0.5074851261363901,0.00018550521454134775,0.9861119802659843,5.797219709074374e-05,7.431576982762443e-05,0.824105852190202
2013-04-29,6.776168711759701e-05,0.515951785208269,0.00018414442880869866,0.9986802792608,5.7634232839173456e-05,7.439151374871796e-05,0.8505430618802649
2013-04-30,5.8041023931509805e-05,0.5108981989513491,0.00018424260733868766,0.9942973167631476,5.283198641385604e-05,7.396242234727562e-05,0.9102524875543101
2013-05-01,6.311211636341748e-05,0.5134007101149778,0.0001948852841817373,0.931132704514906,5.693801995419125e-05,6.969687812555841e-05,0.902172565824381
2013-05-02,6.214021471172626e-05,0.5127401009079474,0.00019178401595728925,0.934087697299722,5.5974453687337735e-05,6.887722219289234e-05,0.900776637914883
2013-05-03,7.476459886581012e-05,0.5389065671192868,0.00018419305301263695,0.9300301291605748,6.324090888824037e-05,6.759398332499492e-05,0.8458670259402737
2013-05-06,7.535412832838797e-05,0.5607396894575863,0.00017856104126055282,0.9388501911035404,6.504414014832531e-05,6.814457036270232e-05,0.8631795177149094
2013-05-07,7.392273390092128e-05,0.5681938520220611,0.00017328535163036452,0.927865559816429,6.430821666291192e-05,7.046204999336844e-05,0.8699382892021322
2013-05-08,6.958015556766957e-05,0.5772077944778494,0.00016680965912870154,0.9276546519736684,6.218497759969401e-05,7.012027161544244e-05,0.8937171394970016
2013-05-09,7.111722928104653e-05,0.5798239442864626,0.00016181544181342704,0.9139548054836883,6.220045215251453e-05,6.90516312505287e-05,0.8746186090392527
2013-05-10,7.562958883543677e-05,0.5824967573236036,0.00016017933332816603,0.8970746936219717,6.411248679272395e-05,6.802903097401674e-05,0.847716981937149
2013-05-13,7.357910230951406e-05,0.589443019445096,0.00015916381550270904,0.9023302962619232,6.378833144486192e-05,6.850553245106343e-05,0.8669354401271874
2013-05-14,7.590263764609063e-05,0.5905031926692696,0.0001572178049230624,0.8622643422675947,6.450621329288166e-05,6.407865736677944e-05,0.849854699301139
2013-05-15,7.650099964197039e-05,0.5837724454600187,0.00015354585918232562,0.8542338070138075,6.326976211785263e-05,6.305061151699834e-05,0.8270449067849988
2013-05-16,7.639729836462006e-05,0.5790993389575382,0.0001508036180648852,0.8545409761462248,6.215813140419396e-05,6.259916981478168e-05,0.8136168782766757
2013-05-17,7.425705624970095e-05,0.580390982076423,0.0001515881505946506,0.8613781085444544,6.157751340814149e-05,6.156689378309446e-05,0.8292479734326862
2013-05-20,7.217439206379002e-05,0.5757787764858093,0.00015391776456214894,0.8542716751451733,6.068643046630167e-05,6.135590879511772e-05,0.8408305041581102
2013-05-21,7.13709588975209e-05,0.5687875172941108,0.00015450773239407032,0.8630731119341303,5.9729094652119594e-05,6.205474833250273e-05,0.8368823338619079
2013-05-22,7.35750525384875e-05,0.5609166046567416,0.00015550316851174176,0.8532193717422903,5.999750743660988e-05,6.018534083717562e-05,0.815459933314011
2013-05-23,7.454058968752127e-05,0.5578212254216871,0.00015497771971336038,0.8512128152817361,5.995509296668033e-05,6.006788949594535e-05,0.8043281280442744
2013-05-24,7.630250921850573e-05,0.5542688251176947,0.00015392173042035813,0.850653933698565,6.006753788234725e-05,6.000021291209461e-05,0.7872288670131834
2013-05-28,7.438631671877e-05,0.5529529736368985,0.00015233481133326789,0.8766817300567427,5.8861903840275516e-05,6.12125279158835e-05,0.7913001535324414
2013-05-29,7.273626036607267e-05,0.5549649439808841,0.0001521209539389774,0.8394961217033712,5.8376164208618306e-05,5.996873487490768e-05,0.8025730758609012
2013-05-30,7.309916508279677e-05,0.5498972000226556,0.00014801952575182372,0.852839397838765,5.720015700307853e-05,6.076829890632863e-05,0.7825008252596317
2013-05-31,7.696255068093324e-05,0.559473068795046,0.00014376059604119323,0.8529879807851051,5.8848967082237116e-05,5.63377313519399e-05,0.7646441881352095
2013-06-03,7.835861755638394e-05,0.5638364265794091,0.0001411923665207686,0.8490586556792986,5.9306476332993513e-05,5.648047049977763e-05,0.7568596560591282
2013-06-04,7.696792659140356e-05,0.5674222336047101,0.0001385183104828429,0.8645339522561524,5.85888313786585e-05,5.7215398485829715e-05,0.7612109871386635
