Feature,Gain,Window_Start
Close,0.045707,500
Volume,0.029339,500
Adj_Close,0.001767,500
Log_Return,0.000961,500
SPY_Return,0.003048,500
Variance_45d,2.534620,500
MA_45d,0.000014,500
MA_5d,0.017454,500
RQ_daily,0.074215,500
RV_x_RQ,0.046894,500
HAR_Pred,0.477412,500
Close_AABA,0.065377,500
Volume_AABA,0.006043,500
Adj_Close_AABA,0.019395,500
Log_Return_AABA,0.001422,500
Variance_45d_AABA,0.097500,500
Variance_45d_MA_AABA,6.429148,500
Variance_5d_MA_AABA,0.456557,500
MA_45d_AABA,0.006804,500
MA_5d_AABA,0.000743,500
Volume_AAPL,0.000263,500
Log_Return_AAPL,0.008001,500
Variance_45d_AAPL,0.087951,500
Variance_5d_MA_AAPL,0.001537,500
MA_45d_AAPL,0.006156,500
MA_5d_AAPL,0.175251,500
Close_ABT,0.028807,500
Volume_ABT,0.004373,500
Log_Return_ABT,0.001441,500
Beta_45d_ABT,0.949262,500
Variance_45d_ABT,0.326107,500
Variance_45d_MA_ABT,0.029913,500
Variance_5d_MA_ABT,4.611660,500
MA_45d_ABT,0.010500,500
MA_5d_ABT,0.014217,500
Close_ACN,0.641198,500
Volume_ACN,0.008130,500
Log_Return_ACN,0.044848,500
Variance_45d_MA_ACN,0.004348,500
MA_5d_ACN,0.002558,500
Close_AET,0.014802,500
Volume_AET,0.001621,500
Log_Return_AET,0.002837,500
Beta_45d_AET,0.006117,500
Variance_45d_AET,0.001163,500
Variance_45d_MA_AET,0.007158,500
MA_45d_AET,0.001772,500
MA_5d_AET,0.005984,500
Close_AGG,0.001798,500
Volume_AGG,0.006088,500
Log_Return_AGG,0.004520,500
Beta_45d_AGG,0.007221,500
MA_5d_AGG,0.011966,500
Volume_AGN,0.004573,500
Log_Return_AGN,0.003298,500
Beta_45d_AGN,0.000920,500
Variance_45d_AGN,0.071509,500
Variance_45d_MA_AGN,8.163343,500
Variance_5d_MA_AGN,2.393015,500
MA_45d_AGN,0.004157,500
MA_5d_AGN,0.027307,500
Close_AIG,0.001036,500
Volume_AIG,0.001444,500
Log_Return_AIG,0.007220,500
Beta_45d_AIG,0.021482,500
Variance_45d_MA_AIG,0.712377,500
MA_45d_AIG,0.072813,500
MA_5d_AIG,1.223651,500
Close_ALXN,0.487714,500
Volume_ALXN,0.014530,500
Adj_Close_ALXN,4.451432,500
Log_Return_ALXN,0.000925,500
Beta_45d_ALXN,0.018120,500
Variance_45d_ALXN,0.003289,500
Variance_45d_MA_ALXN,0.467027,500
Variance_5d_MA_ALXN,0.011827,500
MA_45d_ALXN,0.411239,500
MA_5d_ALXN,0.517636,500
Close_AMGN,0.022824,500
Volume_AMGN,0.001271,500
Log_Return_AMGN,0.001829,500
Beta_45d_AMGN,0.015824,500
MA_45d_AMGN,0.045025,500
MA_5d_AMGN,0.044267,500
Close_AMJ,0.004729,500
Volume_AMJ,0.006182,500
Log_Return_AMJ,0.000203,500
Variance_45d_AMJ,0.049051,500
Variance_5d_MA_AMJ,0.000583,500
MA_5d_AMJ,0.002045,500
Close_AMLP,0.043681,500
Volume_AMLP,0.010297,500
Adj_Close_AMLP,0.113394,500
MA_45d_AMLP,0.010794,500
MA_5d_AMLP,0.003717,500
Close_AMZN,0.314082,500
Volume_AMZN,0.002835,500
Adj_Close_AMZN,0.035626,500
Log_Return_AMZN,0.016390,500
Variance_45d_AMZN,1.201887,500
MA_45d_AMZN,0.590822,500
MA_5d_AMZN,0.006255,500
Close_ANDV,0.073436,500
Volume_ANDV,0.000817,500
Adj_Close_ANDV,0.001419,500
Log_Return_ANDV,0.004358,500
Variance_5d_MA_ANDV,0.115108,500
MA_45d_ANDV,0.001639,500
MA_5d_ANDV,0.000672,500
Volume_APC,0.006133,500
Log_Return_APC,0.014789,500
Beta_45d_APC,0.009005,500
Variance_45d_APC,0.151985,500
MA_45d_APC,0.491117,500
MA_5d_APC,0.039375,500
Close_ATVI,0.003776,500
Volume_ATVI,0.005803,500
Variance_45d_ATVI,0.647856,500
Variance_45d_MA_ATVI,0.006457,500
Variance_5d_MA_ATVI,0.003306,500
MA_45d_ATVI,0.382059,500
MA_5d_ATVI,0.002610,500
Close_AVGO,0.009468,500
Volume_AVGO,0.010092,500
Log_Return_AVGO,0.003088,500
Beta_45d_AVGO,0.002246,500
MA_45d_AVGO,0.001319,500
Log_Return_AXP,0.007025,500
Beta_45d_AXP,0.003484,500
Variance_45d_AXP,0.003985,500
MA_45d_AXP,0.040888,500
MA_5d_AXP,0.130810,500
Close_BAC,0.357098,500
Volume_BAC,0.014588,500
Log_Return_BAC,0.025888,500
Beta_45d_BAC,15.848585,500
Variance_45d_BAC,0.010293,500
Variance_45d_MA_BAC,0.024066,500
MA_5d_BAC,0.048391,500
Close_BA,0.007151,500
Volume_BA,0.013790,500
Log_Return_BA,0.018291,500
Beta_45d_BA,0.043270,500
Variance_5d_MA_BA,0.022082,500
MA_45d_BA,0.001661,500
MA_5d_BA,0.005113,500
Log_Return_BDX,0.001320,500
Beta_45d_BDX,2.117695,500
Variance_45d_MA_BDX,0.086044,500
MA_45d_BDX,0.001591,500
MA_5d_BDX,0.022715,500
Volume_BHC,0.004419,500
Log_Return_BHC,0.007224,500
Beta_45d_BHC,0.170312,500
Variance_5d_MA_BHC,0.013170,500
