Symbol,Beta_45d_STD
SPY,0.000000000000002
SHY,0.017642637173262
IWB,0.019545077046162
IVV,0.021788565692341
VTI,0.033467484077895
VTV,0.045818739629384
IWF,0.048614618180153
IWD,0.054401600793473
DIA,0.064616662986910
SSO,0.068905354816782
BND,0.069019255178891
AGG,0.070160686340331
IWR,0.080845552825822
XLI,0.090116689264969
XLY,0.093831591792942
XLK,0.101804204858136
QQQ,0.101853424157263
IJH,0.108467064807934
HYG,0.110394354788862
MDY,0.111124254487270
IEF,0.121747460215998
XLP,0.124468250013918
VOO,0.142644395435896
MMM,0.148202208710752
XLB,0.156029472487197
IEFA,0.158813797199708
XLV,0.159751439237937
BDX,0.160230900575811
XLF,0.161925722360130
WMT,0.162791905976939
T,0.165993595223155
PEP,0.167064921243253
GE,0.167530015671178
COST,0.168304937737620
IWM,0.176890205779823
HON,0.177418366777818
UTX,0.180072489663547
CB,0.181118916822611
XLE,0.182104383101904
PM,0.184194147050860
VZ,0.184330012909989
IWN,0.184765569899578
XLU,0.188627087535185
UPS,0.189648711098332
CMCS.A,0.190288104898005
PFE,0.191043266583082
MCD,0.194966550314512
LMT,0.195695554211321
HD,0.198263292519521
PG,0.199439584263220
MDT,0.200030110070712
XOM,0.201765567748905
JNJ,0.204696055515993
IBM,0.205659294217804
CVS,0.207332568352528
HEDJ,0.207580552645678
SO,0.207802557835058
VEU,0.209753955832550
AET,0.209971468694373
LLY,0.211840798651936
TWX,0.212808875052524
CVX,0.212857050811261
VEA,0.216713148090982
DIS,0.220083227211346
EFA,0.222864803044362
EWJ,0.223146206545966
LBTY.K,0.223462445076075
UNP,0.223803377511695
MRK,0.225103270191981
KMB,0.227490521576219
DBEF,0.228690490210848
TGT,0.228816332937396
MO,0.229155331129223
DD,0.229573638673798
BA,0.230607769523608
ACN,0.231241986915944
MSFT,0.237518493418327
INTC,0.237642356350427
KO,0.241251342866850
AXP,0.241844976169933
UNH,0.243421224400281
MCK,0.243499525266311
V,0.244197805200875
FDX,0.247157794499196
TXN,0.247480065174261
AMLP,0.248924973508143
LOW,0.250034261089107
IEMG,0.251264819080836
USB,0.253834611485186
JPM,0.254516885282321
ICE,0.255291016860431
TLT,0.258008277957992
SBUX,0.265848696549101
VWO,0.270262127753702
IYR,0.272010952105277
BK,0.273176347426482
MON,0.273332486119285
CSCO,0.276822354233144
ORCL,0.276872753219795
KR,0.277641676793740
FXI,0.278832561164577
EEM,0.280195231533986
NKE,0.286520083524030
DXJ,0.290900336810699
MET,0.290981676498447
VGK,0.291233495393322
QCOM,0.292373007818361
PSX,0.293279636368032
AMJ,0.294547542934667
VNQ,0.295044593413790
ATVI,0.295112899373535
MDLZ,0.295829849440373
DOW,0.296605284915866
COP,0.297176146978083
BMY,0.297616837006107
MA,0.299001141389580
BLK,0.299022850380877
WFC,0.302073434020267
TFCF.A,0.307628111163110
ESRX,0.308476677559572
DUK,0.309207701821236
BP,0.313813856196298
SLB,0.315847849398066
CAT,0.317656863116015
HAL,0.320426023135640
OXY,0.320690047696252
SPG,0.321200750938212
ABBV,0.325123248821982
KMI,0.330004589633289
XOP,0.331033730075815
SIG,0.336496769388217
IBB,0.338222583307460
BKNG,0.342468498482691
EWG,0.344400642079973
EZU,0.345265943635777
WBA,0.348504678525001
GLD,0.348809038720547
GOOG.L,0.350633393930431
BRCM,0.352794562987130
GOOG,0.355307858979284
EWZ,0.362186505423210
AAPL,0.362238859389869
GM,0.370256824224094
BABA,0.376401753293086
CRM,0.377806619192863
APC,0.379434692936223
GILD,0.391640593393094
AMGN,0.391726923318560
WMB,0.394634763618656
EOG,0.394879041124355
SCHW,0.398505157091914
EPD,0.403004850051540
AABA,0.403908531046584
AVGO,0.407619485713519
CELG,0.407840266528880
WW,0.410410176513881
AGN,0.414147974843267
AIG,0.415723873685789
VLO,0.417161401675821
PXD,0.418865007166603
F,0.423978616192183
CMG,0.444845590817404
AMZN,0.447138687177991
BAC,0.465802377630391
EXPE,0.467527369281564
SWKS,0.470118135654264
MS,0.473991391122070
BHC,0.478529430737634
DAL,0.500380517798578
GDX,0.501579367045244
BIIB,0.503131878552810
MU,0.510298759989937
UAA,0.517082525558552
AAL,0.525665739773306
REGN,0.530781719116392
NXPI,0.534340630946549
ANDV,0.540778745070091
USO,0.545464106819389
TNA,0.557823077385010
ILMN,0.613613822970397
UAL,0.616325452636654
TSLA,0.618516294646176
UPRO,0.663903680766082
LBTY.A,0.664971211421047
BIDU,0.678024749656673
C,0.683645375564174
PANW,0.715235215404519
FB,0.723364460396176
NFLX,0.735962683695977
TWTR,0.752004835087620
ALXN,0.760047098675379
TQQQ,1.126650515790649
CMRX,1.235217639133574
ABT,1.257257578765597
XIV,1.306797281282095
DWTI.F,1.400076492594233
BRK.B,1.540713069881686
GS,1.632578808036879
VIX,1.649294547883904
SPXU,1.999657492056318
VXX,2.086736634798575
UVXY,3.295913239024144
